,"""Número de registro"",""Outros números"",Denominação,Material/Técnica,Classificação,Autor,""Resumo descritivo"",""Estado de conservação"",""Data de produção"",""Dimensões - largura"",""Dimensões - diâmetro"",""Dimensões - altura"",""Dimensões - espessura"",""Dimensões - profundidade/comprimento"",""Dimensões - peso"",Situação",Número de registro,Outros números,Denominação,Material/Técnica,Classificação,Autor,Resumo descritivo,Estado de conservação,Data de produção,Dimensões - largura,Dimensões - diâmetro,Dimensões - altura,Dimensões - espessura,Dimensões - profundidade/comprimento,Dimensões - peso,Situação,ACERVO,URL,TAINACAN_COLECTION_ID
0,"JC-18-874,JC-18-874,""Vértebra de peixe"",Fauna,""16 Amostras/Fragmentos"",,""Vértebra caudal de peixe, incompleta, apresentando apenas o corpo"",Bom,""Não se aplica"",,,,""Não se aplica"",""Não se aplica"",5,Localizado",,,,,,,,,,,,,,,,,mhn_-_reserva-tecnica,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/24/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,24
1,"JC-18-712,JC-18-712,""Perônio (fíbula)"",Ósseo,""16 Amostras/Fragmentos"",,""Perônio direito humano, provavelmente de indivíduo adulto, incompleto, compreendendo o corpo, a área trianular subcutânea e pequena porção da extremidade superior"",Regular,""Não se aplica"",,,,""1,3"",""28,2"",30,Localizado",,,,,,,,,,,,,,,,,mhn_-_reserva-tecnica,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/24/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,24
2,"JC-18-433,JC-18-433,Costela,Ósseo,""16 Amostras/Fragmentos"",,""Fragmento de costela esquerda humana, provavelmente de indivíduo jovem, correspondendo à extremidade dorsal e apresentando pequeno desgaste na parte da cabeça"",Regular,""Não se aplica"",,,,1,5,3,Localizado",,,,,,,,,,,,,,,,,mhn_-_reserva-tecnica,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/24/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,24
3,"JC-18-404,JC-18-404,Vértebra,Ósseo,""16 Amostras/Fragmentos"",,""Vértebra torácica humana, provavelmente de indivíduo adulto, fraturada na extremidade do processo espinhoso e na borda superior direita do corpo"",Bom,""Não se aplica"",,,,""4,3"",""5,3"",39,Localizado",,,,,,,,,,,,,,,,,mhn_-_reserva-tecnica,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/24/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,24
4,"VSS-001,VSS-001,Moringa,Cerâmica,""05 Interiores > 05.6 Utensílio de Cozinha/Mesa"",,""Moringa de barro para armazenar água, produção artesanal, sem a presença da alça original"",Bom,""Não se aplica"",,,,""Não se aplica"",""Não se aplica"",""Não se aplica"",Localizado",,,,,,,,,,,,,,,,,mhn_-_reserva-tecnica,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/24/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,24
5,"TMT-02,TMT-02,""Cesto guarani"",""Cestaria | Taquara"",""05 Interiores > 05.6 Utensílio de Cozinha/Mesa"",,""Cesto guarani com tampa, confeccionado com taquara, nas cores e azul, bege e roxo, apresentando com motivos geométricos"",Bom,""Não se aplica"",,,,""41,2"",""Não se aplica"",1090,Localizado",,,,,,,,,,,,,,,,,mhn_-_reserva-tecnica,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/24/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,24
6,"TMT-01,TMT-01,""Cesto guarani"",""Cestaria | Taquara"",""05 Interiores > 05.6 Utensílio de Cozinha/Mesa"",,""Cesto guarani, confeccionado com taquara, nas cores e bege"",Bom,""Não se aplica"",,,,""29,5"",53,306,Localizado",,,,,,,,,,,,,,,,,mhn_-_reserva-tecnica,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/24/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,24
7,"""Sem registro"",""Sem registro"",Núcleo,""Lítico lascado"",""16 Amostras/Fragmentos"",,""Bloco de rocha com sinais de lascamentos"",Bom,""Não se aplica"",,,,""4,6"",""12,7"",1130,Localizado",,,,,,,,,,,,,,,,,mhn_-_reserva-tecnica,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/24/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,24
8,"RPR-8,RPR-8,""Reprodução de pintura rupestre do Piauí"",""Material | Pintura"",""02 Artes Visuais/Cinematográfica > 02.6 Pintura"",,""Quadro com a reprodução de pinturas rupestres procedentes do Piauí pintadas em vermelho com fundo amarelado"",Bom,""Não se aplica"",,,,1,56,""Não se aplica"",Localizado",,,,,,,,,,,,,,,,,mhn_-_reserva-tecnica,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/24/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,24
9,"RPR-7,RPR-7,""Reprodução de pintura rupestre do Piauí"",""Material | Pintura"",""02 Artes Visuais/Cinematográfica > 02.6 Pintura"",,""Quadro com a reprodução de pinturas rupestres procedentes do Piauí pintadas em vermelho e branco com fundo amarelado"",Bom,""Não se aplica"",,,,1,51,""Não se aplica"",Localizado",,,,,,,,,,,,,,,,,mhn_-_reserva-tecnica,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/24/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,24
