,Denominação,Número de registro,Título,Classificação,Data de produção,Autor,Material/Técnica,Local de produção,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - espessura,Resumo descritivo,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
0,Mesa-secretária,REG.0001,,05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Não identificado,Madeira > Jacarandá | Metal | Tecido Oleado,Não identificado,77,"83,3",167,,,"De formato retangular. Tampo forrado de oleado em tom escuro, deixando moldura aparente. Ponte central da cintura escavada, duas gavetas laterais com fundo completo. Quatro pernas torneadas.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
1,Mesa,REG.0002,,05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Não identificado,Madeira > Jacarandá | Mármore,Brasil > Rio de Janeiro,"79,5","53,5",79,,,"De formato retangular. Tampo embutido em mármore cinza rajado. Decoração em frisos. Pernas e trave em ""H"" torneados.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
2,Cadeira,REG.0003,,05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Não identificado,Madeira > Jacarandá | Palhinha,Brasil > Rio de Janeiro,97,52,,,,"De formato irregular, espaldar em medalhão oval, forrado de palhinha trançada, tendo na parte posterior uma trave na posição vertical. Assento em formato de escudo com ondulações na parte frontal, forrado de palhinha trançada. Pernas dianteiras onduladas com pés de cachimbo e traseiras em sabre.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
3,Cadeira,REG.0004,,05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Não identificado,Madeira > Jacarandá | Palhinha,Brasil > Rio de Janeiro,97,"50,5",,,,"De formato irregular, espaldar em medalhão oval, forrado de palhinha trançada, tendo na parte posterior uma trave na posição vertical. Assento em formato de escudo com ondulações na parte frontal, forrado de palhinha trançada. Pernas dianteiras onduladas com pés de cachimbo e traseiras em sabre.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
4,Cadeira,REG.0005,,05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Não identificado,Madeira > Jacarandá | Palhinha,Brasil > Rio de Janeiro,"97,5",50,,,,"De formato irregular, espaldar em medalhão oval, forrado de palhinha trançada, tendo na parte posterior uma trave na posição vertical. Assento em formato de escudo com ondulações na parte frontal, forrado de palhinha trançada. Pernas dianteiras onduladas com pés de cachimbo e traseiras em sabre.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
5,Cadeira,REG.0006,,05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Não identificado,Madeira > Jacarandá | Palhinha,Brasil > Rio de Janeiro,96,"49,5",,,,"De formato irregular, espaldar em medalhão oval, forrado de palhinha trançada, tendo na parte posterior uma trave na posição vertical. Assento em formato de escudo com ondulações na parte frontal, forrado de palhinha trançada. Pernas dianteiras onduladas com pés de cachimbo e traseiras em sabre.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
6,Cadeira,REG.0007,,05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Não identificado,Madeira > Jacarandá | Palhinha,Brasil > Rio de Janeiro,97,50,,,,"De formato irregular, espaldar em medalhão oval, forrado de palhinha trançada, tendo na parte posterior uma trave na posição vertical. Assento em formato de escudo com ondulações na parte frontal, forrado de palhinha trançada. Pernas dianteiras onduladas com pés de cachimbo e traseiras em sabre.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
7,Cadeira,REG.0008,,05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Não identificado,Madeira > Jacarandá | Palhinha,Brasil > Rio de Janeiro,"96,5",51,,,,"De formato irregular, espaldar em medalhão oval, forrado de palhinha trançada, tendo na parte posterior uma trave na posição vertical. Assento em formato de escudo com ondulações na parte frontal, forrado de palhinha trançada. Pernas dianteiras onduladas com pés de cachimbo e traseiras em sabre.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
8,Cadeira,REG.0009,,05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Não identificado,Madeira > Jacarandá | Palhinha,Brasil > Rio de Janeiro,"97,5","51,5",,,,"De formato irregular, espaldar em medalhão oval, forrado de palhinha trançada, tendo na parte posterior uma trave na posição vertical. Assento em formato de escudo com ondulações na parte frontal, forrado de palhinha trançada. Pernas dianteiras onduladas com pés de cachimbo e traseiras em sabre.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
9,Cadeira de Secretária,REG.0010,,05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Não identificado,Madeira > Jacarandá | Palhinha,Não identificado,92,51,,,,"De formato irregular. Espaldar retangular em palhinha trançada com moldura em madeira decorada com entalhes terminando em volutas. Braços curvos com entalhes decorados com almofadas e frisos, terminando em volutas e sustentados por traves torneadas. Assento ovalado em palhinha trançada, decorado em friso, tendo eixo central ligado a trave giratória torneada, de onde saem quatro pés curvilíneos decorados com volutas e frisos.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
