,Outros números,Denominação,Título,Autor,Resumo descritivo,Material/Técnica,Classificação,Data de produção,Local de produção,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
0,T 1501 | T 1697,Prato Fundo,,Não identificado,"Prato fundo em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
1,47,Talher - Garfo de Mesa,,SL Superilure,"Garfo em prata; 4 dentes; Cabo fino terminando em ponta mais larga; Toda a extensão do cabo é trabalhada com relevo, formando nas extremidade do cabo e ponta, relevo que lembra um nó; No verso da peça, monograma com as iniciais do proprietário da peça.",Prata,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[entre 1839 e 1879],França,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
2,T 1389,Travessa Pequena,,Guilherme Holland,"Travessa pequena em faiança; Forma elíptica, com extremidades mais pontudas, formando uma leve ondulação. Ao centro, elevação em alto relevo, formando no centro um circulo fundo, onde, provavelmente, encaixa-se alguma outra peça.",Cerâmica,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Brasil > Rio de Janeiro,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
3,T 1421,Travessa Pequena,,Guilherme Holland,"Travessa pequena em faiança; Forma elíptica, com extremidades mais pontudas, formando uma leve ondulação. Ao centro, elevação em alto relevo, formando no centro um circulo fundo, onde, provavelmente, encaixa-se alguma outra peça.",Cerâmica,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Brasil > Rio de Janeiro,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
4,T 812,Mesa de Centro,,Não identificado,"Mesa em madeira; tampo oval em mármore; avental ao redor de todo o tampo, com sulcos e relevos formando motivos geométricos; uma só perna, trabalhada em sulcos, relevos bolachas e motivos geométricos; os 4 pés saem em curva côncava, com relevos florais e desenhos geométricos vazados, descendo até a base com terminação em rodinhas de metal.",Madeira | Mármore | Metal,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
5,T 822,Cadeira de Palhinha,,Não identificado,"Cadeira em madeira, acento retangular em palhinha; Espaldar em tabela recortada e vazada formando ao centro desenho geométrico; Cachaço com relevo em elemento floral e vazado ao centro; Avental com sulcos e relevos formando ao centro desenhos concheados;  Pernas traseiras retas e lisas até os pés. Pernas dianteiras saindo com ondulações, pés terminando em forma de cachimbo.",Madeira | Palhinha,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
6,T 821,Cadeira de Palhinha,,Não identificado,"Cadeira em madeira, acento retangular em palhinha; Espaldar em tabela recortada e vazada formando ao centro desenho geométrico; Cachaço com relevo em elemento floral e vazado ao centro; Avental com sulcos e relevos, formando ao centro desenhos concheados; Pernas traseiras retas e lisas até os pés. Pernas dianteiras saindo com ondulações, pés terminando em forma de cachimbo.",Madeira | Palhinha,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
7,T 1727,Cadeira de Palhinha,,Não identificado,"Cadeira em madeira, acento retangular em palhinha; Espaldar em tabela recortada e vazada formando ao centro desenho geométrico; Cachaço com relevo em elemento floral e vazado ao centro; Avental com sulcos e relevos formando ao centro desenhos concheados;  Pernas traseiras retas e lisas até os pés. Pernas dianteiras saindo com ondulações, pés terminando em forma de cachimbo.",Madeira | Palhinha,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
8,T 1021,Cadeira de Palhinha,,Não identificado,"Cadeira em madeira, acento retangular em palhinha; Espaldar com tabela vertical reta; Espaldar reto; Avental reto; Pernas retas e lisas até os pés. Amarração reta unilateral.",Madeira | Palhinha,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
9,T 825,Cadeira de Palhinha,,Não identificado,"Cadeira em madeira, acento retangular em palhinha; Espaldar em tabela recortada e vazada formando ao centro desenho geométrico; Cachaço com relevo em elemento floral e vazado ao centro; Avental com sulcos e relevos formando ao centro desenhos concheados;  Pernas traseiras retas e lisas até os pés. Pernas dianteiras saindo com ondulações, pés terminando em forma de cachimbo.",Madeira | Palhinha,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
