,Número de registro,Denominação,Título,Autor,Classificação,Dimensões - altura,Resumo descritivo,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
0,MCHA.0001a,Guarda-roupa,,,05 Interiores > 05.5 Peça de Mobiliário,"269,5","Móvel em formato retangular com portas e gavetas emolduradas com friso, puxadores em carrapetas, parte ...","122,0","60,0",,Ferro | Madeira,"Alcântara , Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
1,MCHA.0002a,Guarda-roupa,,,05 Interiores > 05.5 Peça de Mobiliário,"239,0",,"98,5","63,0",,Madeira | Metal,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
2,MCHA.0003,Guarda-roupa,,,05 Interiores > 05.5 Peça de Mobiliário,"214,3",,"109,0","52,0",,Madeira | Metal,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
3,MCHA.0004,Leito de casal,,,05 Interiores > 05.5 Peça de Mobiliário,"157,5",,"124,2","201,4",,Madeira de cedro,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
4,MCHA.0005,Leito de solteiro,,,05 Interiores > 05.5 Peça de Mobiliário,"116,6",,"120,3","198,5",,Madeira de cedro,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
5,MCHA.0006,Leito de solteiro,,,05 Interiores > 05.5 Peça de Mobiliário,"98,0",,"80,5","184,0",,Ferro,Europa,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
6,MCHA.0008a,Cômoda-penteadeira,,,05 Interiores > 05.5 Peça de Mobiliário,"224,0",,"98,4","49,0",,Espelho | Madeira | Metal,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
7,MCHA.0009a,Cômoda,,,05 Interiores > 05.5 Peça de Mobiliário,"102,0",,"119,5","55,5",,Madeira | Metal,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
8,MCHA.0010a,Cômoda,,,05 Interiores > 05.5 Peça de Mobiliário,"98,8",,"125,9","63,0",,Madeira | Metal,"Alcântara , Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
9,MCHA.0011a,Arca,,,05 Interiores > 05.5 Peça de Mobiliário,"71,5",,"112,0","69,0",,Madeira,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
