,Número de registro,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - peso,Dimensões - largura,Dimensões - espessura,Material/Técnica,Local de produção,Data de produção,Condições de reprodução,Mídias relacionadas,ACERVO,URL,TAINACAN_COLECTION_ID
0,83.36a,Lanterna processional (base),Sem título,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Corpo hexagonal, faces vazadas e protegidas por vidro bisotado. Uma das faces articulada com fecho em forma de gancho. Encimada por esfera lisa, lavrada em motivos fitomórficos.",50,,15,13.0,prata | vidro,,[20-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
1,83.36c,Lanterna processional (correia),Sem título,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,Correia de couro lisa.,25,,2,,couro,,[20-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
2,83.37a,Lanterna processional (base),Lanterna,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Corpo hexagonal, faces vazadas e protegidas por vidro bisotado. Uma das faces articulada com fecho em forma de gancho. Encimada por esfera lisa lavrada em motivos fitomórficos.",50,,15,13.0,prata | vidro,,[20-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
3,83.37c,Lanterna processional (correia),Sem título,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,Correia de couro lisa.,25,,2,,couro,,[20-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
4,83.38,Estante de altar,Atril,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Corpo retangular, vazado, composto por quatro pés, base com laterais internas dentadas. Peça superior articulada à base apresentado outra peça articulada, em movimento rotativo, que se encaixa ao dentado da base graduando a inclinação. Fixo à peça superior pequeno suporte. Todo o corpo apresenta curvas e contra curvas, frisos e arabescos em decoração discreta. Cor dourada.",16,,"42,5",32.0,madeira,,[18-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
5,83.40,Medalha comemorativa,Medalha comemorativa da Lei Áurea,F. Brito,09 Objetos Cerimoniais > 09.2 Objeto Comemorativo,"Anverso: Orla: Legenda - Paz - Liberdade - Trabalho - Prosperidade (entremeada de ornatos) Campo: inscrição em seis linhas, sendo as cinco primeiras horizontais e a  última em curva: Lei/N° 3353/De/13 de Maio/de/1888 - Circulada de ramos de loureiro e de carvalho, atados com um laço. À esquerda do ramo de louro, lê-se: F. Brito e à direito do ramo de carvalho: & Sarramayou.
Reverso: Inscrições em dez linhas horizontais - A/colonia/portugueza/em/Pernambuco/congratula-se com o povo/brasileiro/pelo lanço amplíssimo que/acaba de juntar ao templo/ da/humanidade.
Na orla do anverso e reverso, uma cercadura com folhagem estilizada.",51,,23,16.0,cobre,,[20-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
6,83.41,Relógio de mesa,Relógio,Sem Autor,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,"A conformação do objeto segue linhas retas: base, corpo, pequena plataforma encimada por peça de feição arredondada. Todas estas partes são em resina sintética preta. A base, o corpo e a plataforma recebem ornato em granito avermelhado e branco. O granito da base leva uma tarja em metal, em motivo fantasia, borda inferior recortada. Pés dianteiros em garra que sobem e se transformam em motivo fantasia que recobre o vértice e se estende horizontalmente, em metal. No corpo, lateralmente, duas alças fixas em motivo fantasia, nas quais se pendura outro ornato, em metal. Mostrador circular, em metal, orlado em fantasia, com tampa de vidro bisotado, que se encaixa por ajuste. Campo pintado de dourado, algarismos e ponteiros pretos, dois orifícios com os pinos onde se insere a chave para a corda. Abaixo, finas inscrições em motivo floral, dourado. Encimando a plataforma, suporte e forma de troféu ou taça, com pedestal, em metal trabalhado em curvas, borda alteada e vazada, pináculo. Este suporte sustenta a peça de feição arredondada, em resina. A cor do metal é amarela. Parte posterior com tampa que se encaixa por ajuste, vazada. Abrindo-a, vê-se a máquina.",51,,27,16.0,granito | resina sintética,França,[18-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
7,83.42,Vaso ornamental,Vaso,Sem Autor,05 Interiores > 05.1 Acessório de Interiores,"Corpo cilíndrico, alargando-se pronunciadamente na parte superior e discretamente na parte inferior. Apoiado sobre base circular com quatro pés em garra que terminam em folha de acanto. Apresenta ainda frisos em relevo e quatro saliências indefinidas. Metal dourado. A peça é de fundo monocrômico azul marinho decorada e orlada em motivos fitomórficos, em dourado.",50,,25,,argila | metal,China,[entre 1662 e 1772],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
8,83.43,Vaso ornamental,Vaso,Sem Autor,05 Interiores > 05.1 Acessório de Interiores,"Corpo cilíndrico, alargando-se pronunciadamente na parte superior e discretamente na parte inferior. Apoiado sobre base circular com quatro pés em garra que terminam em folha de acanto. Apresenta ainda frisos em relevo e quatro saliências indefinidas. Metal dourado. A peça é de fundo monocrômico azul marinho decorada e orlada em motivos fitomórficos, em dourado.",50,,25,,argila | metal,China,[entre 1662 e 1772],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
9,83.44,Castiçal,Castiçal,Sem Autor,05 Interiores > 05.4 Objeto de Iluminação,"Base circular com reentrâncias. Corpo central em balaustre de formas arredondadas. Dois braços se projetam, lateralmente, em movimento de discreta curva e terminam no repositório para a vela. Estes braços estão fixos a uma peça que se ajusta por encaixe ao corpo central e que possui, também por encaixe, o apagador da vela. Toda a peça é lavrada em frisos, volutas, motivos fitomórficos.",58,,48,15.0,,Inglaterra,[18-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
10,83.44b,Castiçal (braços),,Sem Autor,05 Interiores > 05.4 Objeto de Iluminação,"Os dois braços se projetam, lateralmente, em movimento de discreta curva e terminam em peça circular na qual repousa o repositório para a vela em forma de balaústre. Esta peça recebe outra, por encaixe, e que também tem por finalidade receber a vela.",28,,48,,prata,Inglaterra,[18-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
11,83.44a,Castiçal (base),,Sem Autor,05 Interiores > 05.4 Objeto de Iluminação,"Base circular com reentrâncias. Corpo central em balaústre de formas arredondadas. Dois braços se projetam, lateralmente, em movimento de discreta curva e terminam no repositário para a vela. Estes braços estão fixos a uma peça que se ajusta por encaixe ao corpo central e que possui também por encaixe, o apagador da vela. Toda a peça é lavrada em frisos, volutas, motivos fitomórficos.",33,,15,,,Inglaterra,[18-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
12,83.44c,Arandela,,Sem Autor,05 Interiores > 05.4 Objeto de Iluminação,"Peça que serve para encaixe: cilíndrica e oca e que também tem por finalidade receber a vela. A borda é grande e circular, lavrada em frisos e motivos fitomórficos.",3,,"7,5",,prata,Inglaterra,[18-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
13,83.44d,Arandela,,Sem Autor,05 Interiores > 05.4 Objeto de Iluminação,"Peça que serve para encaixe: cilíndrica e oca e que também tem por finalidade receber a vela. A borda é grande e circular, lavrada em frisos e motivos fitomórficos.",3,,"7,5",,prata,Inglaterra,[18-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
