,Número de registro,Denominação,Título,Autor,Classificação,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - espessura,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Estado de conservação,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
0,1.0,Relógio de caixa alta,Sem título,Não identificado,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,263.0,56.0,,,,,Madeira > Cedro | Metal | Vidro,Regular,Brasil > Minas Gerais (?),[entre 1801 e 1850],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
1,2.0,Mesa de pernas de lira,Sem título,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,86.5,151.0,,,,,Madeira > Jacarandá | Metal | Madeira > Sucupira,Regular,Brasil > Minas Gerais,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
2,3.0,Festão [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,249.5,15.5,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Catas Altas | Brasil > Minas Gerais > Santa Bárbara,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
3,4.0,Festão [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,238.0,16.5,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Catas Altas | Brasil > Minas Gerais > Santa Bárbara,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
4,5.0,Festão [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,224.0,16.0,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Catas Altas | Brasil > Minas Gerais > Santa Bárbara,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
5,6.0,Festão [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,224.5,16.0,,,,,Madeira > Cedro,Bom,Brasil > Minas Gerais > Catas Altas | Brasil > Minas Gerais > Santa Bárbara,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
6,7.0,Mísula [de retábulo],Atlante,Não identificado,04 Construção > 04.4 Fragmento de Construção,70.0,28.2,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Catas Altas | Brasil > Minas Gerais > Santa Bárbara,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
7,8.0,Mísula [de retábulo],Atlante,Não identificado,04 Construção > 04.4 Fragmento de Construção,70.0,27.7,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Catas Altas | Brasil > Minas Gerais > Santa Bárbara,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
8,9.0,Armário,Sem título,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,214.5,155.2,,,,,Madeira > Canela-parda | Ferro,Regular,Brasil > Minas Gerais,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
9,10.0,Arca,Sem título,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,68.4,216.5,,,,,Ferro | Madeira > Jacarandá | Madeira > Sucupira,Regular,Brasil > Minas Gerais,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
