,Título,Número de registro,Denominação,Classificação,Local de produção,Data de produção,Autor,Material/Técnica,Dimensões - altura,Dimensões - largura,Situação,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - espessura,Dimensões - peso,Resumo descritivo,Condições de reprodução,Mídias relacionadas,ACERVO,URL,TAINACAN_COLECTION_ID
0,,1,Caldeirão,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,Minas Gerais,Século XIX,Não identificada,ferro | fundição | metal,60,,,,60,,,"Caldeirão, de grande porte, confeccionado em metal (ferro), com tampa circular escalonada, contendo alça abaulada em chapa de ferro. Peça de corpo bojudo, base circular e alça, em formato de arco, retorcida na extremidade superior e arrematada por “U” invertido. Alça fixada ao recipiente através de duas argolas, dispostas uma de cada lado, fixadas à estrutura côncava contendo três parafusos. Partes interna e externa lisas.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
1,,2,Coco,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,Minas Gerais,Século XIX,Não identificada,fundição | martelado | metal,12,,,,9,,,"Coco, usualmente conhecido como concha [para apanhar água], confeccionado em metal (cobre e latão). Corpo bojudo com borda abaulada e friso em latão dourado com traços geométricos que ornam a parte superior. Apresenta cabo com haste longilínea fundido em chapa recortada em três pontas, fixada à concha através de três parafusos em metal. Extremidade superior do cabo arrematada por estrutura cônica contendo pequeno aro onde se prende argola (de dimensão maior) para pendurar na parede ou armário.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
2,,3,Ferrete,13 Castigo/Penitência > 13.2 Instrumento de Castigo,Minas Gerais,Século XIX,Não identificada,fundição | metal,,7,,,,,,"Ferrete confeccionado em metal (ferro), com haste longilínea de formato quadrangular, tendo extremidade inferior tripartida (em formato de “tridente”), arrematada pelas seguintes iniciais “AS”. Possui cabo terminado em argola ovalada.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
3,,5,Vira-mundo,13 Castigo/Penitência > 13.2 Instrumento de Castigo,Minas Gerais,Século XVIII/XIX,Não identificada,fundição | metal,,10,,,"11,2",,,"Vira-mundo confeccionado em metal (ferro), composto por três chapas horizontais contendo três estruturas (duas circulares e uma ovalada) para encaixe dos membros dos escravos (punhos ou tornozelos), intercaladas por duas pequenas hastes cilíndricas vazadas, posicionadas na chapa superior e inferior, correspondente à fechadura do objeto. Laterais com espécie de dobradiça que permite o movimento de abertura e fechamento do instrumento de castigo.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
4,,6,Calceta,13 Castigo/Penitência > 13.2 Instrumento de Castigo,Minas Gerais,Século XVIII/XIX,Não identificada,fundição | metal,,43,,,"13,5",,12 kg ,"Calceta confeccionada em metal (ferro), composta, na parte inferior, por estrutura irregular (correspondente a um peso de doze quilos) vazada ao centro e atravessada por pino horizontal cilíndrico no mesmo metal. Pino com extremidades arrematadas por dois aros dispostos um de cada lado. Parte superior do objeto formada por duas correntes fixadas por parafusos longos a aros ovalados que se prendem a uma argola espessa e circular, de grandes dimensões.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
5,,7,Gargalheira,13 Castigo/Penitência > 13.2 Instrumento de Castigo,Minas Gerais,Século XVIII/XIX,Não identificada,fundição | metal,"50,6","23,1",,,"17,2",,,"Gargalheira confeccionada em metal (ferro), de estrutura verticalizada, contendo duas hastes (em formato de cruz) com três ponteiras em curva. Parte inferior do objeto composta por argola espessa, tendo, em uma das extremidades, dois aros encaixados e, na outra extremidade, pequena estrutura cilíndrica correspondente à fechadura do objeto.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
6,,8,Rebenque,11 Transporte > 11.3 Acessório de Transporte Terrestre,Minas Gerais,Século XIX,Não identificada,corte | couro | fundição | metal,,"2,5",,,"4,3",,,"Rebenque confeccionado em couro e metal prateado (alpaca). Objeto composto por haste de couro lisa na extremidade inferior, contendo ornamentação em frisos simples nas parte central e superior. Peça ornada, ao centro, por dois cilindros de metal decorados com nove frisos, sendo seis deles em meia-cana entremeados por friso com pequenos tracejados verticais dispostos em linha. Extremidade superior da peça arrematada por argola decorada com espécie de losangos, tendo ainda pequena corrente para pendurar o objeto.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
7,,10,Palmatória,13 Castigo/Penitência > 13.2 Instrumento de Castigo,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira,,7,,,,,,"Palmatória simples confeccionada em madeira (jacarandá), com cabo composto por haste longilínea e abaulada, tendo orifício para pendurar o objeto. Na extremidade, estrutura circular com cinco orifícios em ambas as faces.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
8,,11,Palmatória,13 Castigo/Penitência > 13.2 Instrumento de Castigo,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira,,,,,"8,5",,,"Palmatória simples confeccionada em madeira (jacarandá), com cabo composto por haste longilínea torneada com estrangulamento central, ornado por friso em meia-cana, e com estrangulamento na extremidade superior arrematada por friso abaulado e bico. Na extremidade inferior, estrutura circular com cinco orifícios em ambas as faces.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
9,,12,Palmatória,13 Castigo/Penitência > 13.2 Instrumento de Castigo,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira,,,,,"8,5",,,"Palmatória simples confeccionada em madeira (jacarandá), com cabo composto por haste longilínea e abaulada, tendo orifício para pendurar o objeto. Na extremidade, estrutura circular com cinco orifícios vazados.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
