,Número de registro,Denominação,Título,Classificação,Local de produção,Data de produção,Autor,Material/Técnica,Dimensões,Resumo descritivo,Condições de reprodução,Mídias relacionadas,ACERVO,URL,TAINACAN_COLECTION_ID
0,1,Barra de ouro,,03 Objetos Pecuniários,Mato Grosso,1816 | Século XIX,Casa de Fundição de Mato Grosso,ouro fundido,"Altura (cm): Largura (cm): 2,8 Comprimento (cm): 22,0 Profundidade (cm): 1,4 Diâmetro (cm): Peso (g): + de 1500,0 Circunferência (cm):","Barra retangular irregular e grossa. Em uma face apresenta as Armas da Coroa, o no da Barra (659), a data (1816), a marca do ourives ensaiador (IDRF ou IDBF), a marca do toque e do quilate (23), a marca de um grão (a flor), e o peso 6-5-3-54 (seis marcos, cinco onças, três oitavas e cinqüenta e quatro grãos). Na outra face, a Esfera Armilar.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
1,61,Cadeira de Sola,,05 Interiores > 05.5 Peça de Mobiliário,Brasil | Minas Gerais,Século XVIII,Não identificado,couro lavrado | madeira | marcenaria | metal,"Altura (cm): 134,0 Largura (cm): 57,0 Comprimento (cm): Profundidade (cm): 5,08 Diâmetro (cm): Peso (g): Circunferência (cm):","Cadeira de espaldar alto, reclinado, com recortes curvo superior e inferior; revestimento em couro decorado com o brasão das Armas de Portugal, com inscrição circundante, coroado e delimitado por frisos curvos, volutas, guirlandas de flores e acantos sinuosos, com dois putos inferiores a maneira de atlantes; contorno em friso de lingüeta, com palmeta superior; tacheado miúdo na frente e laterais; com arremate de pináculos nas quinas; assento de formato trapezoidal, mas de desenho curvo, revestido por couro, com decoração em volutas, acantos sinuosos, conchas e palmetas, guirlanda de flores e dois leões alados; contorno em friso de lingüeta, com a borda moldurada; pernas dianteiras com joelhos de saída, contornadas por frisos; pernas traseiras recurvadas e cilíndricas; amarração em “H” sinuoso, com travessas emolduradas; a traseira cilíndrica; pés cônicos, torneados.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
2,62,Cadeira de Sola,,05 Interiores > 05.5 Peça de Mobiliário,Brasil | Minas Gerais,Século XVIII,Não identificado,couro lavrado | madeira | marcenaria | metal,"Altura (cm): 134,0 Largura (cm): 57,0 Comprimento (cm): Profundidade (cm): 58,0 Diâmetro (cm): Peso (g): Circunferência (cm):","Cadeira de espaldar alto, reclinado, com recortes curvos superior e inferior; revestimento em couro decorado com o brasão das Armas de Portugal, com inscrição circundante, coroado e delimitado por frisos curvos, volutas, guirlandas de flores e acantos sinuosos, com dois putos inferiores a maneira de atlantes; contorno em friso de lingüeta, com palmeta superior; tacheado miúdo na frente e laterais; com arremate de pináculos nas quinas; assento de formato trapezoidal, mas de desenho curvo, revestido por couro, com decoração em volutas, acantos sinuosos, conchas e palmetas, guirlanda de flores e dois leões alados; contorno em friso de lingüeta, com a borda moldurada; pernas dianteiras com joelhos de saída, contornadas por frisos; pernas traseiras recurvadas e cilíndricas; amarração em “H” sinuoso, com travessas emolduradas; a traseira cilíndrica; pés cônicos, torneados.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
3,63,Cadeira de Sola,,05 Interiores > 05.5 Peça de Mobiliário,Brasil | Minas Gerais,Século XVIII,Não identificado,couro lavrado | madeira | marcenaria | metal,"Altura (cm): 134,0 Largura (cm): 57,0 Comprimento (cm): Profundidade (cm): 58,0 Diâmetro (cm): Peso (g): Circunferência (cm):","Cadeira de espaldar alto, reclinado, com recortes curvos superior e inferior; revestimento em couro decorado com o brasão das Armas de Portugal, com inscrição circundante, coroado e delimitado por frisos curvos, volutas, guirlandas de flores e acantos sinuosos, com dois putos inferiores a maneira de atlantes; contorno em friso de lingüeta, com palmeta superior; tacheado graúdo na frente e laterais; com arremate de pináculos nas quinas; assento de formato trapezoidal, mas de desenho curvo, revestido por couro, com decoração em volutas, acantos sinuosos, conchas e palmetas, guirlanda de flores e dois leões alados; contorno em friso de lingüeta, com a borda moldurada; pernas dianteiras com joelhos de saída, contornadas por frisos; pernas traseiras recurvadas e cilíndricas; amarração em “H” sinuoso, com travessas emolduradas; a traseira cilíndrica; pés cônicos, torneados.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
4,64,Cadeira de Sola,,05 Interiores > 05.5 Peça de Mobiliário,Brasil | Minas Gerais,Século XVIII,Não identificado,couro lavrado | madeira | marcenaria | metal,"Altura (cm): 134,0 Largura (cm): 57,0 Comprimento (cm): Profundidade (cm): 58,0 Diâmetro (cm): Peso (g): Circunferência (cm):","Cadeira de espaldar alto, reclinado, com recortes curvos superior e inferior; revestimento em couro decorado com o brasão das Armas de Portugal, com inscrição circundante, coroado e delimitado por frisos curvos, volutas, guirlandas de flores e acantos sinuosos, com dois putos inferiores a maneira de atlantes; contorno em friso de lingüeta, com palmeta superior; tacheado miúdo na frente e laterais; com arremate de pináculos nas quinas; assento de formato trapezoidal, mas de desenho curvo, revestido por couro, com decoração em volutas, acantos sinuosos, conchas e palmetas, guirlanda de flores e dois leões alados; contorno em friso de lingüeta, com a borda moldurada; pernas dianteiras com joelhos de saída, contornadas por frisos; pernas traseiras recurvadas e cilíndricas; amarração em “H” sinuoso, com travessas emolduradas; a traseira cilíndrica; pés cônicos, torneados.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
5,68,Cadeira de Sola,,05 Interiores > 05.5 Peça de Mobiliário,Brasil | Minas Gerais,Século XVIII,Não identificado,couro lavrado | madeira | marcenaria | metal,"Altura (cm): 125, Largura (cm): 58,0 Comprimento (cm): Profundidade (cm): 50,0 Diâmetro (cm): Peso (g): Circunferência (cm):","Cadeira de espaldar alto, reclinado, com recortes curvos superior e inferior; revestimento em couro decorado com o brasão das Armas de Portugal, com inscrição circundante, coroado e delimitado por frisos curvos, volutas, guirlandas de flores e acantos sinuosos, com dois putos inferiores a maneira de atlantes; contorno em friso de lingueta, com palmeta superior; tacheado miúdo na frente e laterais; assento de formato trapezoidal, mas de desenho curvo, revestido por couro, com decoração em palmeta centrada por volutas, acantos sinuosos, e flores; contorno em friso de lingueta, com a borda moldurada e laterais em tacheado miúdo; pernas dianteiras com joelhos de saída, contornadas por frisos; pernas traseiras de secção quadrada, recurvadas para fora; amarração em “X”; pés dianteiros em bolachas.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
6,69,Cômoda-papeleira,,05 Interiores > 05.5 Peça de Mobiliário,Brasil | Minas Gerais,Século XVIII,Não identificado,bronze fundido | madeira | marcenaria,"Altura (cm): 125,0 Largura (cm): 6,0 Comprimento (cm):125,0 Profundidade (cm): Diâmetro (cm): Peso (g): Circunferência (cm):","Cômoda retangular, de pés de quina, recortados em curvas; base em moldura larga, frisada; metade inferior em dois gavetões, de borda emoldurada, com fechaduras de espelhos em recortes curvos, com elementos apontados e par de puxadores semi-elípticos, com espelhos em recortes curvos, com esses nos extremos e elementos trilobulados gravado com desenho de elementos fitomorfos entrelaçados e ondulados; metade superior com duas gavetas, dispostas lado a lado, na horizontal, de bordas emolduradas e ferragem igual à anterior; moldura superior; parte superior com tampa inclinada, de borda emoldurada; fechadura com espelho elíptico, em recortes curvos; interior dividido em 14 compartimentos; sendo cinco inferiores com gavetas de puxadores torneados; três gavetas do centro sinuosas e as duas dos cantos retas; nove escaninhos superiores, separados por divisórias de recortes curvos; o desenho acompanha a sinuosidade das gavetas; tampo interno com um compartimento secreto, com tampa de correr, com a borda em recortes curvos emoldurados; a tampa inclinada, quando aberta, fica apoiada sobre duas barras de secção quadrangular, com puxadores torneados, que ficam embutidas nos cantos superiores da cômoda.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
7,70,Arca cômoda,,05 Interiores > 05.5 Peça de Mobiliário,[Minas Gerais],Século XVIII,Não identificado,ferro fundido | madeira | marcenaria,"Altura (cm): 74,0 Largura (cm): 58,0 Comprimento (cm): 130,5 Profundidade (cm): Diâmetro (cm): Peso (g): Circunferência (cm):","Arca retangular horizontal, sobre quatro pés em bolacha; base emoldurada; registro inferior em duas gavetas, de par de almofadas altas, com fechadura de espelho recortado em cruz; registro superior em três almofadas altas, sendo duas de formato losangular e uma retangular ao meio; fechadura com espelho de recorte em cruz; laterais com par de almofadas altas inferiores e uma losangular, também alta, em cima; tampa de borda emoldurada, com uma lingueta curta por dentro; interior com o fundo entalhado em duas rosáceas grandes; canto direito, ao alto, um compartimento tampado.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
8,72,Mesa de aba e cancela,,05 Interiores > 05.5 Peça de Mobiliário,Brasil,Século XIX | Século XVIII,Não identificado,ferro fundido | madeira | marcenaria,"Altura (cm): 82,0 Largura (cm): 110,0/47,0 (fechada) Comprimento (cm): 125,0 Profundidade (cm): Diâmetro (cm): Peso (g): Circunferência (cm):","Mesa com tampo elíptico, em três pranchas, sendo a do meio fixa e as outras duas dobráveis; borda em entalhe de torçal; caixa lisa e reta, de formato retangular, com gaveta de puxador torneado em sua lateral mais estreita; quatro pernas torneadas em bolachas e nó goticulado ao centro; elementos quadrangulares na parte inferior, onde se prendem as travessas da amarração, também torneadas; possui ainda duas pernas extras, dobráveis, que servem de sustento às partes dobráveis do tampo, com travessas verticais e horizontais, também em torneados.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
9,77,Arca,,05 Interiores > 05.5 Peça de Mobiliário,Brasil | Minas Gerais,Século XVIII,Não identificado,ferro | fundição | madeira | marcenaria | policromia | recorte,"Altura (cm):40,5 Largura (cm): Comprimento (cm): 116,5 Profundidade (cm): 46,0 Diâmetro (cm): Peso (g): Circunferência (cm):","Arca retangular horizontal, pintada externamente de vermelha, com base emoldurada e frisada; tampa emoldurada e frisada junto à borda; fechadura com lingüeta presa à tampa e espelho quadrado ao meio; Face interna da tampa com pintura de uma tarja-rocalha com flores, servindo de moldura a uma jovem mulher, de cabelos com coque e grinalda vermelha, com um buquê de flores nas mãos; vestida com vestido branco cingido por laço preto; sobre fundo azul claro; Interior da arca com pinturas laterais de buquês de rosas vermelhas e ramos verdes, sobre fundo azul claro; tem no canto esquerdo um compartimento transversal, também com pintura em motivos florais.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
