,Número de registro,Denominação,Autor,Material/Técnica,Local de produção,Data de produção,Classificação,Dimensões - altura,Dimensões - profundidade/comprimento,Dimensões - largura,Dimensões - espessura,Dimensões - diâmetro,Resumo descritivo,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
0,1,Clichê,Christiano B. Ottoni Filho (risco); Ivo Ferreira da Silva (desenho) e Gráfica de Artes S.A (caracteres),madeira | metal | tinta,Rio de Janeiro,Séc. XX,10 Comunicação > 10.1 Documento,"24,5",,"19,4","0,6",,"Clichê para impressão em prelo manual, confeccionado em metal (zinco?) sobre suporte em madeira, com ilustração em baixo-relevo, representando a prancha nº 1 do livro sobre a árvore genealógica da Família Ottoni (Jorge Benedicto Ottoni c/c Rosa Maria de Jesus/ São Paulo/ Emmanuel Antão Ottoni/ O Genovês - ramo do Serro - MG). A placa em metal encontra-se fixada a uma tábua delgada de madeira através de pequenos pregos.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
1,2,Estampa religiosa,Não identificado,madeira | tecido | tinta,Minas Gerais,Séc. XIX,02 Artes Visuais/Cinematográfica > 02.4 Estampa,525,,83,,,"Estampa religiosa, representando o Santo Sudário, confeccionado em tecido (linho) com pintura em tinta vermelha, verde e marrom. Na parte frontal do objeto, representação do corpo de Jesus Cristo, de estrutura esguia, com cabelos semilongos, tendo a cabeça encimada por coroa de espinhos em tom esverdeado. Traja perizônio branco com dobras em tom vermelho. Apresenta escoriações, em tinta vermelha, espalhadas pelo seguintes locais corpo: rosto, ombros, peito, braços, pulsos, pernas e pés. Figura masculina com olho amendoados e entreabertos, nariz aquilino, barba e boca fechada. Apresenta os braços flexionados e unidos à frente da barriga, tendo as mãos sobrepostas. No verso do objeto, representação das costas de Cristo, com cabelos semilongos, em tom castanho, e escoriações em formato de folha, pintadas em tom vermelho e espalhadas por todo o corpo. Pés separados. O objeto é sustentado por duas hastes torneadas em madeira (jacarandá) ornadas por filetes e arrematadas por bilros.  ","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
2,3,Oratório portátil,Não identificado,madeira | tinta,Minas Gerais,Séc. XVIII,05 Interiores > 05.5 Peça de Mobiliário,128,,49,"19,7",,"Oratório [portátil], com caixa em formato de cruz latina, de origem mineira, em madeira (pinho-de-riga) recortada e policromada. Parte frontal e laterais em fundo acinzentado com ornatos sinuosos em tom perto e fechamento das portas através de dois ferrolhos em metal (ferro), posicionados nas partes superior e inferior. Objeto emoldurado por friso em tom vermelho. Portas do oratório fixadas à estrutura da caixa através de quatro dobradiças em metal, dispostas duas de cada lado. Parte interna das portas em fundo branco com representação diferentes objetos, incluindo instrumentos do martírio de Cristo. À esquerda: cálice (em tom azul); palma (em tom verde); luva (em tom cinza); espada com orelha cortada em tom vermelho; pequena caixa presa por aro; torquês e flechas. À direita: Santo Sudário; travessa e cálice com alça (ambos em tom cinza); túnica de mangas compridas; coluna encimada por galo e com dois chicotes entrelaçados; saco; martelo; escada; tambor vermelho com três dados dispostos na superfície (de números: 3, 5 e 1) com mão à direita. Parte interna do oratório em tom azul com ornamentação composta por rosinhas de malabar, em tom vermelho com ramagens verdes emolduradas por estruturas geométricas e rosinhas brancas. Piso em madeira lisa. Parte posterior em tom amarelo composta por três tábuas.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
3,4,Clichê,Christiano B. Ottoni Filho (risco); Ivo Ferreira da Silva (desenho) e Gráfica de Artes S.A (caracteres),madeira | metal | tinta,Rio de Janeiro,Séc. XX,10 Comunicação > 10.1 Documento,"24,9",,"19,2","0,54",,"Clichê para impressão em prelo manual, confeccionado em metal (zinco?) sobre suporte em madeira, com ilustração em baixo-relevo, representando a prancha nº 2 do livro sobre a árvore genealógica da Família Ottoni (Manoel Vieira Ottoni - ramo do Serro - MG). A placa em metal encontra-se fixada a uma tábua delgada de madeira através de pequenos pregos.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
4,6,Clichê,Christiano B. Ottoni Filho (risco); Ivo Ferreira da Silva (desenho) e Gráfica de Artes S.A (caracteres),madeira | metal | tinta,Rio de Janeiro,Séc. XX,10 Comunicação > 10.1 Documento,25,,"19,9","0,53",,"Clichê para impressão em prelo manual, confeccionado em metal (zinco?) sobre suporte em madeira, com ilustração em baixo-relevo, representando a prancha nº 3 do livro sobre a árvore genealógica da Família Ottoni (Jorge Benedicto Ottoni - ramo no Rio de Janeiro). A placa em metal encontra-se fixada a uma tábua delgada de madeira através de pequenos pregos.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
5,7,Clichê,Christiano B. Ottoni Filho (risco); Ivo Ferreira da Silva (desenho) e Gráfica de Artes S.A (caracteres),madeira | metal | tinta,Rio de Janeiro,Séc. XX,10 Comunicação > 10.1 Documento,"24,8",,"19,3","0,34",,"Clichê para impressão em prelo manual, confeccionado em metal (zinco?) sobre suporte em madeira, com ilustração em baixo-relevo, representando a prancha nº 4 do livro sobre a árvore genealógica da Família Ottoni (Jorge Benedicto Ottoni - ramo no Rio de Janeiro). A placa em metal encontra-se fixada a uma tábua delgada de madeira através de pequenos pregos.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
6,8,Clichê,Christiano B. Ottoni Filho (risco); Ivo Ferreira da Silva (desenho) e Gráfica de Artes S.A (caracteres),madeira | metal | tinta,Rio de Janeiro,Séc. XX,10 Comunicação > 10.1 Documento,"25,3",,"20,1","0,57",,"Clichê para impressão em prelo manual, confeccionado em metal (zinco?) sobre suporte em madeira, com ilustração em baixo-relevo, representando a prancha nº 5 do livro sobre a árvore genealógica da Família Ottoni (Christiano Benedicto Ottoni Filho - ramo do Rio de Janeiro). A placa em metal encontra-se fixada a uma tábua delgada de madeira através de pequenos pregos.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
7,9,Clichê,Christiano B. Ottoni Filho (risco); Ivo Ferreira da Silva (desenho) e Gráfica de Artes S.A (caracteres),madeira | metal | tinta,Rio de Janeiro,Séc. XX,10 Comunicação > 10.1 Documento,"24,5",,"19,3","2,2",,"Clichê para impressão em prelo manual, confeccionado em metal (zinco?) sobre suporte em madeira, com ilustração em baixo-relevo, representando a prancha nº 6 do livro sobre a árvore genealógica da Família Ottoni (Christiano Benedicto Ottoni Filho - ramo de Niterói - Rio de Janeiro). A placa em metal encontra-se fixada a uma tábua espessa de madeira através de pequenos pregos.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
8,10,Clichê,Christiano B. Ottoni Filho (risco); Ivo Ferreira da Silva (desenho) e Gráfica de Artes S.A (caracteres),madeira | metal | tinta,Rio de Janeiro,Séc. XX,10 Comunicação > 10.1 Documento,"24,5",,"19,3","2,3",,"Clichê para impressão em prelo manual, confeccionado em metal (zinco?) sobre suporte em madeira, com ilustração em baixo-relevo, representando a prancha nº 8 do livro sobre a árvore genealógica da Família Ottoni (Jorge Benedicto Ottoni - ramo no Rio de Janeiro). A placa em metal encontra-se fixada a uma tábua espessa de madeira através de pequenos pregos.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
9,11,Clichê,Christiano B. Ottoni Filho (risco); Ivo Ferreira da Silva (desenho) e Gráfica de Artes S.A (caracteres),madeira | metal | tinta,Rio de Janeiro,Séc. XX,10 Comunicação > 10.1 Documento,"24,5",,"19,3","2,2",,"Clichê para impressão em prelo manual, confeccionado em metal (zinco?) sobre suporte em madeira, com ilustração em baixo-relevo, representando a prancha nº 14 do livro sobre a árvore genealógica da Família Ottoni (Jorge Benedicto Ottoni - ramo no Rio de Janeiro). A placa em metal encontra-se fixada a uma tábua espessa de madeira através de pequenos pregos.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
