,Número de registro,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
0,312,Oratório,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Oratório do tipo vitrine, retangular, com pés dianteiros curvos, em volutas e angras; pés traseiros lisos e inclinados. Frente delimitada por filete dourada, com angras e cês na parte inferior; e arqueamento com concheados, cês e angras, arrematado por palmeta, na parte superior. Interior com seis imagens, sendo a central do Senhor Crucificado, pregado por três cravos, com a cabeça erguida, com resplendor; vestido de perizônio curto. Cruz com traves retas, com pintura em motivos fitomorfos e título. Do lado esquerdo da Cruz, a imagem de Nossa Senhora da Conceição, de mãos postas, de pé sobre tufos de nuvens, vestida de túnica, manto, mantelete e véu; com resplendor; do lado direito, São José, de pé, sustentado o Menino Jesus nu na mão esquerda; vestido de túnica e manto, calçado de botas; com resplendor. Abaixo da Cruz as imagens de, à esquerda, uma figura feminina, ... (continua na observação)","48,0"," 21,0 ","9,0",,,dourada | madeira entalhada | pedra sabão entalhada | policromada | vidro,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
1,311,Oratório,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Oratório do tipo vitrine, chanfrado em três faces envidraçadas, com registro inferior; com parte externa pintada de preto. Arestas em forma de colunas, de terço inferior torcido, com fuste dourado; friso interno dourado, com cês e angras; arqueado no registro inferior e parte superior, onde é arrematado por cartelas (acima das colunas do meio), cês e enrolamentos. Parte interna superior com crucifico de cruz de traves imitando árvore, com imagem do Cristo pregado por três cravos, vestido de perizônio; ao seu lado, à esquerda, a imagem de Nossa Senhora da Conceição, de pé sobre tufos de nuvens, com mãos postas; vestida de túnica, manto e véu, com coroa; à direita, a imagem de São José, de pé, com as mãos junto ao peito, levando ao colo o Menino Jesus nu, este segurando um globo terrestre; leva um resplendor. Abaixo da cruz, à esquerda, a imagem de São Caetano, de pé, com a mão esquerda sobre o peito; vestido de batina, roquete e estola; usa um capelo de três abas e resplendor; ao meio, Santana Mestra, assentada em uma cadeira de espaldar vermelho, com o livro apoiado sobre o colo ...(continua na observação)","66,0"," 35,0 ","12,0",,,douramento | entalhe | madeira entalhada | pedra sabão | policromia | tecido | vidro,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
2,310,Desenho,Uniforme militar,Não identificado,02 Artes Visuais/Cinematográfica > 02.2 Desenho,"Representação de um soldado em posição frontal, trajando farda militar azul, composta por calção e casaca agaloada, sobre colete amarelo e babado branco, com faixa vermelha na cintura; de meias brancas e botas pretas. Usa um chapéu preto com plumagem azul. Traz uma espada empunhada na mão direita. A bainha da espada encontra-se presa à cintura, no lado direito.","29,5"," 22,0 ",,,,desenho aquarelado | papel | tinta,[Portugal?],Século XX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
3,309,Desenho,Uniforme militar,Não identificado,02 Artes Visuais/Cinematográfica > 02.2 Desenho,"Representação de um soldado em posição frontal, trajando farda militar azul, composta por calção e casaca agaloada, sobre camisa e colete branco, com faixas brancas cruzadas; de meias brancas e botas pretas. Usa um chapéu preto, abrasonado, com plumagem azul. Traz uma espingarda com baioneta apoiada sobre o ombro esquerdo.","29,7"," 22,0 ",,,,desenho aquarelado | papel | tinta,[Portugal?],Século XX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
4,308,Desenho,Uniforme militar,Não identificado,02 Artes Visuais/Cinematográfica > 02.2 Desenho,"Representação de um soldado em posição frontal, trajando farda militar azul, composta por calção e casaca agaloada, sobre camisa e colete amarelo, com faixas brancas cruzadas; de meias brancas e botas pretas. Usa um chapéu preto, abrasonado, com plumagem amarela. Traz uma espingarda de baioneta apoiada sobre o ombro esquerdo.","29,7"," 22,0 ",,,,desenho aquarelado | papel | tinta,[Portugal?],Século XX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
5,307,Desenho,Uniforme militar,Não identificado,02 Artes Visuais/Cinematográfica > 02.2 Desenho,"Representação de um soldado em posição frontal, trajando farda militar azul, composta por calção e casaca agaloada, sobre camisa e colete branco, com faixa vermelha na cintura; de meias brancas e botas pretas. Usa um chapéu preto, abrasonado, com plumagem azul. Traz uma espada empunhada na mão direita. A bainha da espada encontra-se presa à cintura, no lado direito.","29,5"," 22,0 ",,,,desenho aquarelado | papel | tinta,[Portugal?],Século XX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
6,306,Desenho,Uniforme militar,Não identificado,02 Artes Visuais/Cinematográfica > 02.2 Desenho,"Representação de um soldado em posição frontal, trajando farda militar azul, composta por calção e casaca agaloada, sobre camisa e colete branco, com faixas brancas cruzadas; de meias brancas e botas pretas. Usa um chapéu preto, abrasonado, com plumagem azul. Traz uma espingarda com baioneta apoiada sobre o ombro esquerdo.","29,0"," 22,0 ",,,,desenho aquarelado | papel | tinta,[Portugal?],Século XX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
7,305,Imagem de santo,São Manoel,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina, jovem, de pé, em posição frontal, com a cabeça voltada para a direita, para onde dirige o olhar. Cabelos curtos, pintados de marrom, em mechas grandes e sinuosas. Boca entreaberta, mostrando os dentes superiores. Tem um cravo dourado saindo de dentro de cada ouvido, de onde descem estrias vermelhas simulando sangue. Tem encravado em cada lado do peito um cravo dourado, com estrias vermelhas simulando sangue descendo pelo tórax. Braços flexionados à frente, com as mãos postas. Pernas retas, estando a esquerda mais adiantada, com os pés em ângulo suave. Vestido de perizônio curto, dobrado ao meio, com padronagem em flores miúdas e confetes dourados. O santo possui por trás um raionado circular, composto por treze raios frisados de modulações e tamanhos diferentes. Um deles, localizado no alto, à esquerda, sustenta um anjo menino, em posição frontal, de braços abertos e pernas dobradas, coberto apenas por um pano verde, que se enrola no braço esquerdo e desce cobrindo o sexo. Tem asas de recorte curvo, em verde e vermelho, com esgrafitado dourado. Base quadrada, de quinas chanfradas, pintada de vermelho.","73,0"," 54,0 ","24,0",,,dourada | madeira esculpida | policromada,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
8,304,Resplendor,,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Resplendor semicircular, com o centro decorado em motivos florais, com contorno em friso de cordão. Parte superior com 19 raios de modulações diferentes (bisotados e sinuosos), com contorno inferior em friso de cordão. Com pino para encaixe.","7,0"," 6,5 ",,,,ouro lavrado,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
9,302,Imagem da Virgem Maria,,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura feminina, de pé, em posição frontal, com a cabeça erguida e olhos direcionados à frente. Braços flexionados à frente; o direito sem a mão; o esquerdo com a mão sustentando o Menino Jesus, assentado, vestido de túnica branca, com a mão direita de abençoar. Vestida de túnica azul, com padronagem floral; mantelete rosa; véu branco; e manto vermelho caído por trás, formando voltas nos braços, inclusive a dobra onde se assenta o Menino. Base atributiva em globo com três cabeças de anjos de asas vermelhas. Peanha em dois degraus quadrados, de quinas chanfradas. Leva sobre a cabeça uma coroa de prata, vazada ao centro, com decoração fitomorfa, com quatro hastes curvas, arrematadas por cruz chapeada.","41,0 *"," 16,0 ","13,0",,,entalhe | madeira | policromia prata lavrada | tinta,Brasil > Minas Gerais,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
10,301,Pistilo,,Não identificado,06 Trabalho > 06.6 Equipamento de Mineração,"Mão de seção cilíndrica, com um extremo mais grosso e arredondado; despontada no outro extremo, onde termina em leve abaulamento.","31,0",,,"6,5",,ferro fundido,Brasil,1819 | Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
11,300,Balança,,Não identificado,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,"Balança de haste horizontal, formando um desenho losangular, com quatro barras verticais ao meio; fiel comprido e despontado ao meio; extremos terminados em alças curvas, onde se prendem as correntes dos pratos; estes circulares e rasos.","144,0"," 97,0 ",,"35,0",,bronze | ferro | fundição,Brasil,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
12,299,Queijeira,,Não identificado,06 Trabalho > 06.1 Equipamento Agrícola,"Queijeira de tampo retangular, contornado por uma canaleta junto à borda, formando uma bica em um dos extremos. Pernas em cavalete.","75,0"," 53,0 ",,,,madeira | recorte,Brasil > Minas Gerais,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
13,298,Carranca,,[Mestre Biguiba Guarani?],11 Transporte > 11.2 Acessório de Transporte Marítimo,"Carranca em forma de um animal fantástico, misto de boca de leão com uma crina de cavalo, de pescoço cilíndrico e comprido, com chanfro inferior.","42,0"," 24,0 ",,,,entalhe | madeira,Brasil > Minas Gerais,Século XX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
14,297,Carranca,,[Mestre Biguiba Guarani?],11 Transporte > 11.2 Acessório de Transporte Marítimo,"Carranca em forma de um busto de mulher, de cabeça erguida, com cabelos compridos, terminados em duas tranças por trás. Tem as mãos junto ao peito levando uma espécie de cuia (ou uma lua crescente). Vestida de túnica.","75,0"," 33,0 ","32,0",,,entalhe | madeira,Brasil > Minas Gerais,Século XX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
15,292,Baú,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Caixa retangular alta revestida por couro, com decoração em tacheado na tampa, laterais e frente, onde forma a inscrição “S.M.P.I.D.”. Alças laterais de formato elíptico, com espelho cordiforme, contornado por tacheado.","49,0","72,0 ","32,0",,,couro | fundição | madeira | recorte metal,Brasil > Minas Gerais,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
