,Número de registro,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - espessura,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
0,1,Santa,Santa Maria Madalena,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Escultura religiosa, de grande porte, confeccionada em madeira (cedro) entalhada, pintada e dourada, representando Santa Maria Madalena. Figura feminina, jovem, ajoelhada, de perfil, com cabelos longos, partidos ao meio e levemente ondulados, com mechas em ponta caídas à frente dos ombros, em tom castanho escuro. Apresenta rosto ovalado, testa larga, tez com carnação em tom esbranquiçado, sobrancelhas finas e arqueadas e olhos amendoados, pintados em tom castanho, nariz aquilino, bochechas com nuances rosadas, boca pequena cerrada com lábios em tom vermelho, queixo proeminente e pescoço delgado e comprido. Tem os braços flexionados e direcionados para cima (em posição de quem se apoia na cruz do calvário), com seu braço esquerdo posicionado mais abaixo do que o seu braço direito e mãos com dedos longilíneos e unhas bem delineadas. Traja túnica longa, de mangas compridas, em tom marrom, ornada por motivos florais e tracejado em dourado (esgrafito), com punhos em tom verde. Sobre a túnica, dalmática em tom vermelho e dourado, ornada por motivos florais, tendo gola ondulada com friso dourado, destacando-se, na parte inferior, barra dourada emoldurada por friso e arrematada à frente por ponta em linha sinuosa. Traje composto por manto longo, em tom verde, apoiado sobre seu ombro direito, ornado por motivos fitomorfos em dourado e por barra decorada com flores e volutas em relevo (pastilho). Panejamento movimentado, contendo indumentária com pregas bem marcadas. Imagem apoiada sobre base em rochedo estilizado, no tom verde escuro, apresentando pintura na parte posterior em tons amarelo, vermelho e verde claro, com duas folhagens em tom verde escuro. Na parte frontal inferior do objeto, placa retangular, em metal (prata), com a inscrição: “AO DPHAN/ OFERECE/ CLAUDIO MARIANNO”.",157,"77,5","53,5",,,,Folha de Ouro | Madeira | Tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
1,2,Escultura Religiosa,“São Caetano”,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina, de meia-idade, de pé, em posição frontal, de cabeça erguida, olhos direcionados para baixo, cabelos curtos, em estrias finas, ondulados nas laterais, com duas volutas junto a testa e uma tonsura circular ao alto; sombrancelhas finas e boca entreaberta, mostrando os dentes superiores, bigode fino em estrias que se juntam á barba, longa, em mechas sinuosoas, com a ponta bipartida; tem os braços flexionados para a frente, com as mãos espalmadas; pés paralelos, calçados em sandália de tiras finas. Veste uma batina preta, com sequência de botões pretos a frente; sobre a cabeça um barrete de três abas, com borla preta ao meio.",153,50,,,,,Madeira | Tecido | Tinta,Brasil > Minas Gerais,Século XIX | Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
2,3,Escultura Religiosa,“São Francisco de Assis”,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina, de meia-idade, de pé, em posição frontal, cabeça erguida, com olhos direcionados ao alto; de cabelos curtos, em mechas grossas, sinuosas, rodeando uma ampla tonsura, com topete elevado á frente; sombrancelhas arqueadas e franzidas ao meio; tem a boca entreaberta, mostrando os dentes superiores, bigode em estrias finas, barba longa em estrias mais grossas com dois escavados abaixo do queixo, orelhas destacadas do crâneo; braços estendidos para baixo, com mão esquerda espalmada; a mão direita tinha os dedos ligeiramente dobrados; ambas as mãos com os estigmas; pés descalços, paralelos, com estigmas; Vestido com o hábito preto, cingido por cordão branco, com os três nós. Base retangular, de quinas chanfradas, marmorizada em azul e branco.",91,42,,,,,Madeira | Tecido | Tinta,Brasil > Minas Gerais,Século XIX | Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
3,4,Escultura Religiosa,“São Vicente de Paula”,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina, idosa, de pé, em posição frontal, mas com a cabeça inclinada para a esquerda, com os olhos abaixados; cabeça com solidéu preto, com quatro nervuras arrematadas por um botão ao alto, deixando descoberto parte posterior do cabelo, já grisalho, uma mecha junto às orelhas e outra na frente; orelhas grandes, bem escavadas no interior; testa com franzimentos e rugosidade abaixo dos olhos; sobrancelhas grossas, pintadas em marrom; boca fechada com bigode e barba ralos, também grisalhos; braços de articular, estendidos lateralmente, com a mão esquerda espalmada e a direita com dedos fechados, de modo a segurar algo; pés paralelos, calçados em sapatos pretos, com fivelas borboletas e meias pretas (pintadas). Vestido com batina preta, com botões pretos na metade inferior. Base retangular, de pouca espessura, pintada de preto.","127,5",37,,,,,Madeira | Tecido | Tinta,Brasil > Minas Gerais,Século XIX | Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
4,5,Nossa Senhora,Nossa Senhora das Dores,Mestre Piranga,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Escultura religiosa, de grande porte, confeccionada em madeira (cedro) entalhada, pintada e dourada, representando Nossa Senhora das Dores. Figura feminina, sentada sobre rochedo estilizado, pintado nos tons verde e vermelho, composto por estruturas irregulares na base, que se prolongam verticalmente na parte posterior do objeto. Nossa Senhora apresenta rosto oval, com carnação esbranquiçada e rósea, cabelos castanhos escuros pouco aparentes sob véu, tendo o rosto direcionado para cima e ligeiramente inclinado à esquerda, testa curta, olhar angustiado, olhos grandes em tom castanho escuro (com lágrimas em relevo caindo pelas laterais do seu olho direito), sobrancelhas finas e cílios pintados no mesmo tom, nariz afilado com narinas grandes, maçãs do rosto e queixo em tom rosado, boca grande cerrada com lábios em tom vermelho, pescoço comprido e orelhas parcialmente aparentes. Traja túnica longa marrom, de mangas compridas e panejamento movimentado, contendo pregas bem marcadas, barra dourada, gola arredondada e drapeada, ornada por motivos florais nos tons vermelho, marrom, branco, azul e dourado, além de ramagens verdes. Túnica sobreposta por manto com a parte interna ornada por singelos motivos florais, em tom vermelho, sob fundo dourado e azul, tendo a parte externa em tom azul claro com pregas bem marcadas e ornatos com motivos geometrizados circulares em dourado. Nossa Senhora tem os braços flexionados, com as mãos posicionadas à frente, na direção do peito, estando ligeiramente afastadas, com dedos longilíneos. Ao centro do peito, destaca-se coração flamejante, em relevo, pintado em tom vermelho, com chama estriada e dourada. Apresenta os joelhos flexionados e salientes, tendo seu pé direito com dedos longilíneos calçado com sandália de tiras douradas, ornada por motivos florais e ramagens.","104,5","38,5",53,,,,Folha de Ouro | Madeira | Tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
5,6,Escultura Religiosa,“Nossa Senhora Aparecida”,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura feminina, de meia-idade, de pé sobre base atributiva, em posição frontal; de cabeça erguida, com olhar direcionado à frente; braços flexionados à frente, com mãos postas em gesto de orante; pernas ocultas; Vestida com uma túnica branca; sobre-túnica também branca, com a barra inferior em recortes diagonais, arrematados por franjas; cingida á cintura, de onde desce um rosário (pintado); também usa um cordão (entalhado), terminado em Cruz da Ordem de Cristo; um manto azul e vermelho (forro), de borda em dourado, com padronagem em motivos fitomorfos estilizados, cobre-lhe a parte posterior do corpo, inclusive a cabeça, onde leva uma coroa circular dourada, fechada por seis hastes curvas com detalhes vermelhos ao meio, arrematadas por cruz latina. Base atributiva, em forma de tufos de nuvens douradas, sobre uma peanha em tronco piramidal, de quinas chanfradas, pintada de branco.","41,5",25.0,,,,,Madeira | Tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
6,7,Santa,Santana Mestra,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Escultura religiosa, de pequeno porte, confeccionada em madeira entalhada e pintada, representando Santana Mestra e a Virgem Menina. Santana Mestra encontra-se representada através de figura feminina, de meia-idade, sentada em posição frontal sobre cadeiral pintado em tom verde, com espaldar de linha acentuadamente sinuosa (voltado para trás), ornado por entalhe recortado em curva e arrematado por concha estilizada, tendo a parte central do encosto emoldurada por frisos em tom bege e amarelo. Assento do cadeiral em tom vermelho, cercado por friso. Móvel apoiado sobre quatro pés curvos, em tom vermelho, com saia recortada em curvas. Santana apresenta rosto quadrado, cabelos semi-longos, em tom castanho escuro, cobertos por véu curto ligeiramente esvoaçante, em tom bege, tendo no alto da cabeça orifício para encaixe do resplendor em meetal (prata), testa curta, tez com carnação em tom bege e róseo, olhos castanhos, nariz arrebitado e boca pequena cerrada com vestígios de tinta vermelha. Traja túnica marrom, de mangas compridas, ornada por motivos fitomorfos em dourado, com pregas bem marcadas. Túnica sobreposta por manto em tom verde, com a parte interna em tom amarelo, envolto sobre seu braço direito. Panejamento movimentado. Apresenta seu joelho esquerdo posicionado mais à frente, tendo a marca dos pés aparente sob a túnica. Tem seu braço direito flexionado, segurando com a mão (grande) a extremidade do livro, este com capa vermelha, aberto, com páginas em tom bege, e seu braço esquerdo apoiado sobre o ombro da Virgem Menina. À direita da Santana, Virgem Menina, de pé, posicionada de perfil, com cabelos semi-longos em tom castanho, destacando-se três mechas onduladas na lateral. Apresenta tez rosada, testa curta, pintura do rosto pouco visível, olhos em tom castanho, nariz arrebitado e boca pequena cerrada. Traja túnica longa, de mangas compridas, em tom bege, com ornamentação em motivos florais nos tons vermelho e marrom (com vestígios de tinta azul), sobreposta por manto curto em tom azul. Tem seus braços flexionados e mãos apoiadas sobre o livro. Com o dedo indicador de sua mão esquerda aponta para determinada frase da página aberta. Pés aparentes calçados com sapato marrom. Escultura apoiada sobre base vermelha, de formato octogonal, tendo a parte frontal abaulada.",32,"19,5","15,4",,,,Folha de Ouro | Madeira | Metal | Tinta,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
7,8,Escultura Religiosa,“Santana Mestra”,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Conjunto escultórico composto por duas figuras femininas: uma de meia-idade e uma de menina; a de meia-idade encontra-se assentada em uma cadeira, em posição frontal, com a cabeça erguida, de olhos abaixados; cabelos compridos, parcialmente cobertos por um véu curto; tem os braço direito flexionado á frente, mão segurando um livro aberto, de capa vermelha, que se apóia em seu colo; o braço esquerdo flexionado lateralmente, acolhendo a menina, em cujo costado apóia sua mão; tem as pernas dobradas e levemente recolhidas para dentro, com os pés em ângulo suave, dos quais se vê as pontas vermelhas dos sapatos que os calçam. Veste uma túnica branca, com mantelete, e padronagem em motivos fitomorfos dourados; um manto vermelho, de forro azul (?) lhe cobre os braços e o costado. A menina está de pé, do lado direito, em posição de meio-perfil, de cabelos grandes, amarrados em coque por trás; cabeça inclinada à frente, com o olhar dirigido para o livro aberto; braço direito flexionado, com a mão sobre o livro, para o qual aponta com o indicador estendido; braço esquerdo flexionado lateralmente, com mão aberta, segurando o livro por baixo; perna direita dobrada, e a outra oculta; veste uma túnica de tom claro, com padronagem em dourado, e um manto azul (?), de forro vermelho, com detalhes dourados na padronagem, jogado pelo braço direito e colo. Cadeira de espaldar alto, com a parte superior decorada em relevo de volutas e entrelaçados dourados, com fundo azul, com pintura de flores douradas; braços curvos terminados em volutas; pernas de secção quadrangular curvas, com pés em sapatas. base de formato circular irregular, com pintura preta.","23,5","10,5",,,,,Folha de Ouro | Madeira | Tinta,Brasil > [Bahia?],Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
8,9,Nossa Senhora,Nossa Senhora da Conceição,Mestre Piranga,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Escultura religiosa, de médio porte, confeccionada em madeira (cedro) entalhada, pintada e dourada, representando Nossa Senhora da Conceição. Figura feminina, jovem, de pé, em posição frontal, com cabelos longos e estriados, partidos ao meio e levemente ondulados, com mechas sob véu curto dourado, tendo testa larga, com carnação em tom róseo, cabeça encimada por coroa de prata, olhos separados e levemente assimétricos, pintados em tom castanho escuro, nariz aquilino e boca cerrada em tom vermelho. Traja túnica longa branca e dourada, cintada, de mangas compridas, com decote redondo, ornada por motivos florais em tom vermelho e ramagens em dourado, além de barra com motivos florais dourados (pastilho) e motivos circulares. Sobre a túnica, manto esvoaçante, apoiado sobre seu braço esquerdo e envolto na cintura, pintado nos tons verde escuro, marrom e dourado (esgrafito), tendo a parte interna em vermelho e dourado, com ornatos em semicírculos seriados e a parte externa ornada por motivos fitomorfos e florais, em tom marrom e dourado, tendo a barra decorada com pontilhado e motivos florais dourados (pastilho). Panejamento movimentado. Apresenta os braços flexionados com as mãos em posição de oração.  Nossa Senhora encontra-se apoiada sobre nuvem estilizada, em tom esverdeado, tendo ornatos circulares em tom mais escuro, cercada por serpente em tom marrom e dourado, abocanhando uma maçã dourada. Na parte superior da nuvem sobressaem os cornos da lua crescente, em tom marrom. Nuvem cercada por três querubins, estando dois deles dispostos nas laterais (um de cada lado) e o terceiro querubim na parte frontal, apresentando rostos redondos, cabelos cacheados e estriados, em tom castanho escuro, sobrancelhas finas e olhos em tom castanho escuro, narizes pequenos e arrebitados, orelhas parcialmente aparentes, bochechas proeminentes e boca pequena cerrada, com lábios pintados em tom vermelho, além de asas em vermelho e dourado. Peça apoiada sobre base octogonal escalonada, com pintura em marmorizado nos tons bege e vermelho.","54,5",17,26,,,,Folha de Ouro | Madeira | Metal | Tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
9,10,Escultura Religiosa,“Crucifixo”,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura de Cristo pregado por três cravos, em posição frontal, com a cabeça pendida à esquerda, de olhos fechados, com cabelos marrons, compridos, caídos em mechas sinuosas, com uma ponta pelo ombro direito; com uma coroa de espinhos de dois ramos grossos e verdes entrelaçados; tem os braços estendidos em “Y”, com as semi-fechadas, tendo apenas os indicadores estendidos; tem a boca fechada, o bigode fino e a barba semi-longa, escavada abaixo do queixo, onde termina em duas volutas; tórax com as costelas levemente demarcadas, com a chaga do lado direito do peito escavada; pernas dobradas, com os joelhos chagados, com marcas vermelhas; pé direito sobreposto ao esquerdo. Vestido por perizônio branco, amarrado através de um nó central, com as duas pontas despontados lateralmente, sendo a da esquerda mais comprida. Com estrias e marcas vermelhas imitando sangue em várias partes do corpo Cruz em forma de dois troncos desgalhados e nervurados, entrelaçados, de tom verde, com os nós em preto. Título preso no topo, disposto na diagonal, em forma de galhardete com enrolamento superior, pintado de preto, com contorno e inscrição “INRI” em dourado. Resplendor em prata, de formato losangular, em raios frisados e de pontas recortadas em tamanhos variados, com uma cartela central, onde se insere uma flor em relevo, delimitado por moldura oval, com tremidos e volutas. Base atributiva, em forma de monte, com o centro em protuberâncias arredondadas, de onde se eleva os dois troncos que formam a cruz, com pedaços de ossos nas pontas, um pino de ferro ao meio,; fundo em elevação de recorte curvo, delimitado por friso dourado, formando volutas nos extremos inferior e superior. Moldura inferior em curva, com bicos nas laterais. Recebe um marmorizado de tom rosado, sobre o qual aparecem pintados ramos verdes com flores miúdas vermelhas.","111,5","39,5",,,,,Folha de Ouro | Madeira | Metal | Tinta,Brasil > Minas Gerais,Século XVIII > [entre 1751 e 1800],museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
