,Número de registro,Outros números,Situação,Denominação,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
0,GO.99.029.393,87,Localizado,Santa Luzia,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura feminina de pé, cabeça levemente a direita. Olhos abertos ao longe. Boca fechada. Nariz reto. Cabelos longos encaracolados de véu curto branco e decorado de dourado. Pescoço grosso, braço flexionados, o direito com mão segurando palma verde, o esquerdo com a mão espalmada. Perna esquerda com joelhos flexionados. Pés com médio afastamento com sapatos brancos com dourados. Policromada. Túnica branca e decoração em flores e ramas douradas e decorada com prega dourada. Sobretudo azul com saia branca. Manto 3/4 vermelho.","0,73 m","0,3 m",,"0,38cm",,Madeira,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
1,GO.99.029.495,89,Localizado,São José de Botas com Menino,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"De pé de frente. Cabeça levemente pendida a esquerda Olhos Baixos. Boca fechada.  Nariz aquilino. Fisionomia triste. Cabelos talhados, longos com pontas cacheados. Barba talhada em duas pontas. Pescoço curto, Braços Flexionados, o direito na diagonal e o esquerdo segurando o menino Jesus. Perna Direita com o joelho flexionado, em passo. Pés com botas pretas de cano longo. Túnica curta, vermelha, debruada e decorada de dourado com friso azul, fundo verde com flores prateadas,  com dourado. Caído sobre o ombro esquerdo e envolvendo o corpo. Na mão esquerda pano branco decorado de dourado. Menino Jesus: Sentado de frente despido. Cabeça levemente pendida à frente. Olhos abertos. Bola fechada. Nariz achatado. Cabelos incisos e curtos. Braços flexionados, direito em angulo para cima e o esquerdo para baixo. pernas flexionadas, cruzadas, esquerda sobre a direita. Peanha retangular, cinza.","1,02m","0,19m",,,,Madeira,Não identificado,Século XVIII,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
2,GO.99.029.001,68001029001 | A-83,Localizado,Castiçal,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Castiçal de metal, banhado de prata, com decoração incisa no centro com motivos fitomorfos, bordado com incisos em arco e círculo. Sucena móvel aparafusada à salva. Cabo fundido com decoração fitomorfa. Suporte com friso cinzelado e 4 pés em garra.","0,04 m",,,"0,17 m",,Metal > Cobre | Metal > Prata,Não identificado,Século XX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
3,GO.99.029.204,83053029204 | 23,Localizado,Nossa Senhora da Penha,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura de pé, de frente cabeça levemente inclinada para frente. Olhos abertos de vidro para baixo. Boca fechada com sorriso de ponta para cima nariz aquilino. Cabelos longos, incisos em mechas e meio cobertos pelo véu. Pescoço curto . Braços Flexionados sendo o direito na lateral e esquerdo apoiando o manto sob o menino. Mãos de segurar apoiada na perna esquerda com flexão no joelho direito. Véu Curto branco debruado, manto azul longo debruado com fundo vermelho. Túnica longa Rosa debruada de marrom presa ao alto. criança com cabelo em bandó. Olhos abertos de vidro para baixo. pescoço curto. Despido. Globo na mão esquerda apoiado no manto. Nuvens com 5 anjos .Peanha marrom oitavada com pontas douradas.","0,66 m","0,28 m",,,,Madeira,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
4,GO.99.029.003,68003029003 | 13,Localizado,São José de Botas,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina, de pé, frente com corpo levemente inclinado à esquerda, cabelos longos e escuros em mechas com movimentos para trás. Barba cerrada, bigodes longos. Boca fechada, olhos abertos e direcionados para direita. Braço direito estendido e o esquerdo flexionado, mão aberta apoiando o manto que serve de suporte para o Menino Jesus. Perna direita levemente flexionada e a esquerda em posição reta. Botas de canos longos, na cor preta com decoração em dourado. Veste túnica vermelha, decorada com florões dourados, manto dourado com elementos fitomorfos,verso escuro, decote debruado de vermelho. Usa na cintura uma faixa preta, manto longo, caindo sobre o ombro esquerdo, contorna o corpo, acentuado panejamento, decorado c/ flores douradas e vermelhas, fundo escuro. Peanha redonda, vermelha. Escultura em madeira, policromada, dourada, florões esgrafiados. Orifício para resplendor na cabeça.","0,265 m","0,14 m",,,,Madeira > Cedro,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
5,GO.99.029.012,68012029012 | 60,Localizado,São Paulo,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina de pé, posição frontal, cabeça levemente inclinada à frente. Olhos baixos, boca entreaberta. Cabelos lisos com tonsura, barba incisa, braço esquerdo flexionado com a mão segurando um livro vermelho, braço direito na horizontal. Pés em afastamento, sapatos vermelhos. Veste túnica longa, vermelha, com decoração em ouro. Capa de asperges, amarela verso verde, nas costas uma parte vermelha com barra dourada, fechando a frente uma cruz amarela. Peanha quadrada de cantos batidos e emoldurados. Escultura policromada.","0,28 m","0,11 m",,,,Madeira,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
6,GO.99.029.015,68015029015 | 45,Localizado,São Sebastião,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina de pé amarrado em um tronco, cabeça inclinada a esquerda, olhar direcionado, cabelos curtos para trás partido ao meio. Braço direito flexionado para cima punho junto ao galho, mão com dedos curvos. Braço esquerdo caído por trás de um galho. Perna esquerda reta, direita flexionada no joelho, pés firmes ligeiramente em diagonal. Veste apenas o perizônio amarelo, corpo nu, orifício para retas no braço, no tórax e nas pernas com respingo vermelho imitando sangue. Tronco verde com 6 galhos ligados a peanha escalonada marmorizada em verde friso vermelho canto batido atrás reto. Escultura policromada.","0,16 m","0,6 m",,,,Madeira,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
7,GO.99.029.006,68006029006 | 30,Localizado,Nossa Senhora da Conceição,José Joaquim da Veiga Valle,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura Feminina de pé sobre o globo com as pontas da lua crescente. Cabelos partidos ao  meio longos para trás, posição frontal, cabeça ligeiramente inclinada a esquerda. Olhar direcionado. Braços flexionados, veste túnica longa atada na cintura. Manto longo, caindo do ombro esquerdo e preso uma ponta no braço direito com acentuado planejamento. Pecúlia quadrada.","0,29 m","0,9 m",,,,Madeira,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
8,GO.99.029.016,68016029016 | 68,Localizado,Nossa Senhora da Piedade,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Nossa Senhora sentada em banco com a cabeça levemente pendida a direita. Olhos baixos boca fechada. Cabelos longos caído nos ombros coberto por um véu arredondado. Braço direito flexionado com a mão segurando a cabeça de Cristo, braço esquerdo flexionado à frente com a mão espalmada apoiada no joelho de Cristo. Veste túnica branca longa. Manto caindo dos ombros envolta ao corpo preso no colo, roxo com vermelho. No colo o corpo de Cristo com o braço direito caído a frente, o esquerdo sobre o corpo pernas flexionadas apoiadas no chão. Cristo está nu, envolvido apenas por perizônio branco. Peanha retangular com ângulos batidos. Escultura policromada.","0,11 m","0,05 m",,,,Madeira,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
9,GO.99.029.198,83044029198 | 12,Localizado,São Pedro,José Joaquim da Veiga Valle,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina, de pé, posição frontal, cabeça pendida a esquerda, cabelos calvo e cacheado. Olhos altos de vidros, nariz aquilino. Boca entreaberta. Barba serrada partida no queixo. Braço esquerdo flexionado com a mão espalmada sobre o peito. O direito somente ante braço afastado do corpo. Perna direita flexionada a altura do joelho com o pé em afastamento. Perna esquerda firme na diagonal. Sapato preto com decoração dourada. Túnica longa purpura com decoração dourada. Sobre túnica azul com flores dourada e branca. Manto longo caído sobre o ombro esquerdo envolta ao corpo com planejamento acentuado com grandes losangos no ocre, debruado de azul e dourado. Base redonda Vermelha.","0,26 m ","0,14 m",,,,Madeira,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
