,Número de registro,Outros números,Situação,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
0,MCP0001,,Localizado,Cadeira,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Peça em madeira escura, envernizada. Assento quadrado, com tela sextavada de fibra natural ao centro. Possui quatro pernas entalhadas de forma curva, com quatro faces cada, tendo três traves entre elas de madeira cilindrica. O encosto possui duas hastes entalhadas unidas por duas traves.",,,,,,Madeira > Madeira Torneada | Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
1,MCP0002,,Localizado,Cadeira,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Peça em madeira escura, envernizada. Assento quadrado, com tela sextavada de fibra natural ao centro. Possui quatro pernas entalhadas de forma curva, com quatro faces cada, tendo três traves entre elas de madeira cilindrica. O encosto possui duas hastes entalhadas unidas por duas traves.",,,,,,Madeira > Madeira Torneada | Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
2,MCP0004,s/n,Localizado,Mesa,Sem título,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Mesa utilizada como peça de mobiliário confeccionada em madeira sustentada por quatro pés. 22 blocos de madeira unidos por encaixes e pregos (tampo: 03 tábuas, 03 faces de ""espelhos"", 04 pernas, 04 blocos que sustentam/amarram a mesa, blocos menores de sustentação e 01 face de ""espelho"" com recorte para incluir gaveta). Espaço para gaveta, porém ausente. Madeira clara no tampo e ""espelhos"" e madeira avermellhada nas pernas e pés. Pernas com chanfro arredondados nas quinas e pés em formato afunilado (espessura que vai se estreitando).",82,127.2,,,,Madeira | Metal > Prego,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
3,MCP0005,s/n,Localizado,Tela,Igreja Matriz da cidade de Pilar de Goiás cidade histórica da época da escravidão,Ciça Santos,02 Artes Visuais/Cinematográfica > 02.6 Pintura,"Imagem de edificação religiosa, encimada por cruz, com escadas à frente, lado esquerdo da imagem com estrutura para cobrir 03 sinos, na cor marrom. Em frente dessa estrutura há uma representação de vegetação rasteira e de um coqueiro. ao lado direito da imagem, abaixo da escada, há representação de um calçamento. A edificação religiosa possui paredes na cor branca telhado em duas águas, e estruturas de alvenaria laterais à nave com telhados em uma água (individuais). As paredes são entrecortadas por linhas retas verticais (04 no frontão triangular, 04 na parede ao chão e 02 menores também nas paredes frontais) e horizontais (02 acima da porta central na cor azul, 02 nas paredes onde possuem telhados em uma água), óculo triangular na cor preta. Na parede lateral à esquerda da imagem há uma porta na cor azul, com beiral também em azul, porém mais escuro. Presença de duas linhas retas verticais entre os telhados. ao fundo, continuação da edificação com representação de 01 porta na cor azul. A estrutura que cobre os sinos possui telhado em duas águas em cor escura e linhas retas estruturais também na cor escura. abaixo dos sinos, há a representação de um suporte (piso) suspenso ao chão. A escadaria localizada à frente da edificação é representada na cor clara com 08 degraus. Ao final da escada há uma cruz na cor preta. ao lado direito da imagem há a representaçao de uma casa em tamanho menor (representando distância) que possui 03 janelas na cor marrom, paredes na cor verde e telhado escuro. Ao redor das duas edificações, há representação de um morro coberto de vegetação rasteira. Parte superior do quadro com representação de céu com predominância de nuvens esbranquiçadas e folhagens do coqueiro na parte superior à esquerda da tela.","64,3||57||43,3","64,5||57||43,3",,,,Madeira | Tecido | Tinta,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
4,MCP0006,,Localizado,Fotografia,Desconhecido,Não identificado,10 Comunicação > 10.1 Documento,"Fotografia fixada em base de eucatex, de formato retangular, sobre chassis de madeira. Fotografia revelada em tons de siena, sem brilho. Retrata seis homens, lado a lado, em pé, diante da fachada de uma edificação. Homem à esquerda com olhar direcionado à camera fotográfica, possui bigode e barba, traja camisa branca de manga curta, calça clara com cinto e chapéu branco e sapatos. À frente de seus pés, peças esculpidas em madeira. Ao seu lado, um jovem de camisa quadriculada, entreaberta, por fora da calça clara (não é possível identificar os seus pés); possui o olhar em direção à diagonal esquerda. Ao seu lado, homem de bigode, com boné escuro, camisa branca com mangas dobradas, e calça clara com cinto (também não é possivel identificar seus sapatos), possui a mão esquerda sobre o quadril. Ao seu lado, quarto homem com cabelos pouco grisalhos, barba e bigode, vestindo camisa branca de manga comprida e calça clara. De estatura mais baixa na foto, o quinto homem usa óculos escuros e possui bigode. Veste camisa e calça em tons claros, assim como chapéu, e sapatos escuros. O sexto homem, último da ponta direita, veste camisa clara de manga comprida, calça escura com cinto, boné claro e um cordão no pescoço que termina na altura da sua cintura, no lado direito. A edificação atrás deles possui parede branca, com porta e janela em madeira. Na janela disposta no canto direito da, sobre seu parapeito, algumas peças brancas. Atrás deles, encostadas na parede, folhas da janela (muxarabis); e, a frente deles, próximo aos seus pés, outras peças de madeira. Possui dois ganchos aparafusados na face posterior, e um fio de arame para sustentação na parede.",49.7,69.7,,,,Filme fotográfico | Papel,Brasil > Goiás > Pilar de Goiás,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
5,MCP0007,,Localizado,Peso de Medição,Desconhecido,Não identificado,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,"Peso de medição de formato cilíndrico, confeccionado em metal (ferro fundido ??). Possui cor escura em tom marrom, com manchas mais claras. Possui algumas ranhuras na peça e sinal de desgaste na parte inferior, fundo da mesma. Na face superior, ao centro, alça confeccionada em mesmo material, soldada sobre a peça. Nessa mesma face, à frente, selo de cera com brasão marcado (desenho não pode ser identificado por completo). Na parte anterior do objeto, em alto relevo, a inscrição '50 Kg'.",32,19,,19,50 kg,Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
6,MCP0008,,Localizado,Banco,Sem título,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Banco com espaldar em madeira. A peça possui em suas extremidades laterais duas peças em madeira (bloco único) encimadas por uma figura zoomorfa, os ""braços"" do banco (02) possuem linhas arredondadas entrecortadas por linhas retas. Os pés do banco (03, sendo dois nas extremidades e um no meio do comprimento) são recortados simulando o símbolo ""{"" deitado com a abertura voltada para baixo. Em cima deste recorte, há um círculo com 3,5 cm de diâmetro. As pernas do banco possuem, ainda, em frente, recorte na madeira formando um ""L"" ao olhar de lado com dois orifícios um acima do outro com uma distância de xx cm entre eles. Ao meio há uma peça de madeira para estabilizar o espaldar. Os 06 blocos de madeira são peças de encaixe, sendo o espaldar e o assento, blocos únicos cada.",137,349.7,,,,Madeira | Metal > Prego,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
7,MCP0009,,Localizado,Bolsa,Sem título,Não identificado,12 Objetos Pessoais > 12.6 Objeto de Auxílio/Conforto Pessoais,"Objeto utilizado para guarda e deslocamento de objetos de pequeno porte confeccionada em couro de cor clara. Possui alça para ser levada para outros lugares. O compartimento de armazenagem possui uma aba de formas arredondadas com uma extensão estreita, comprida com furos que sobresai à área citada. Na parte de armazenagem, possui bolso externo de tamanho menor à área principal. Esse segundo bolso possui aproximadamente 12cm de altura por 15 cm de comprimento contendo na parte externa inferior estrutura metálica de forma quadrangular vazada com peça estreita para ser encaixada nos orifícios da pequena alça localizada na aba para fechamento da bolsa.",90,24.3,,,,Couro | Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
8,MCP0010,,Localizado,Cabeça de Animal,Desconhecido,Não identificado,16 Amostras/Fragmentos,"Esqueleto de cabeça de animal, com presença de chifre, orifício nasal e ocular. Chifre bilateral, cada um ramificado em três ramos principais. Ausência de parte nasal do lado esquerdo da face do esqueleto; e ausência da maioria dos dentes na arcada superior direita. Não apresenta arcada inferior.",57,53,,,,Matéria Orgânica > Osso,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
9,MCP0011,,Localizado,Fragmento,,Não identificado,16 Amostras/Fragmentos,"Objeto utilizado provavelmente para sustentação do banco. Verifica-se a representação de uma figura animal estilizada formanda pela cabeça (voltada para baixo), crina estilizada rente ao corpo formado por 05 peças elípticas, corpo estilizado com representação de figuras geométricas arredondadas e retas, formando desenhos em formato de cruz, pequenas volutas, entre outras não identificadas. As pernas do banco (02) correspondem às pernas do animal, localizadas uma frente à outra com uma distância de aproximadamente 39,5 cm. Os pés da estrutura possuem formado achatado em comparação às pernas.",64,54.2,,,,Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
