,Número de registro,Outros números,Situação,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
0,52.001.I/030.002,,Localizado,Peso,Peso Monetário,Não identificado,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,Cone truncado com frisos incisos no interior.,03 (maior),,,05 e 03 (maior e menor),,Metal > Bronze,Não identificado,Século XVIII,museusibramgoias_-_museu-das-bandeiras,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1093/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1093
1,52.001.II/030.003,,Localizado,Peso,Peso Monetário,Não identificado,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,Cone truncado com frisos incisos no interior.,03 (maior),,,04 e 03 (maior e menor),,Metal > Bronze,Não identificado,Século XVIII,museusibramgoias_-_museu-das-bandeiras,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1093/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1093
2,52.001.III/030.004,,Localizado,Peso,Peso Monetário,Não identificado,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,Cone truncado com frisos incisos no interior.,03 (maior),,,05 e 03 (maior e menor),,Metal > Bronze,Não identificado,Século XVIII,museusibramgoias_-_museu-das-bandeiras,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1093/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1093
3,52.001.IV/030.005,59,Localizado,Peso,Peso Monetário,Não identificado,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,Cone truncado com frisos incisos no interior.,03 (maior),,,05 e 03 (maior e menor),,Metal > Bronze,Não identificado,Século XVIII,museusibramgoias_-_museu-das-bandeiras,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1093/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1093
4,52.001.V/030.006,53,Localizado,Peso,Peso Monetário,Não identificado,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,Cone truncado com frisos incisos no interior.,03 (maior),,,05 e 03 (maior e menor),,Metal > Bronze,Não identificado,Século XVIII,museusibramgoias_-_museu-das-bandeiras,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1093/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1093
5,52.001.VI/030.007,53,Localizado,Peso,Peso Monetário,Não identificado,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,"Cone truncado com frisos incisos no interior, com pegador retangular. Na imagem é o 1º à esquerda.",3,,,2,,Metal > Bronze,Não identificado,Século XVIII,museusibramgoias_-_museu-das-bandeiras,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1093/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1093
6,52.001.VII/030.008,53,Localizado,Peso,Peso Monetário,Não identificado,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,Cone truncado com frisos incisos no interior.,03 (maior),,,05 e 03 (maior e menor),,Metal > Bronze,Não identificado,Século XVIII,museusibramgoias_-_museu-das-bandeiras,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1093/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1093
7,52.001.VIII/030.009,59,Localizado,Peso,Peso Monetário,Não identificado,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,Cone truncado com frisos incisos no interior.,03 (maior),,,05 e 03 (maior e menor),,Metal > Bronze,Não identificado,Século XVIII,museusibramgoias_-_museu-das-bandeiras,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1093/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1093
8,52.001/030.001,,Localizado,Peso,Peso Monetário,Não identificado,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,Cone truncado com frisos incisos no interior.,03 (maior),,,05 e 03 (maior e menor),,Metal > Bronze,Não identificado,Século XVIII,museusibramgoias_-_museu-das-bandeiras,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1093/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1093
9,52.002.I/030.011,,Localizado,Luminária,Castiçal,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,Base circular com frisos. Haste torneada em discos e vaso. Campânula circular com frisos. Sucena redonda.,52,,,17,,Madeira | Metal,Não identificado,Século XVIII,museusibramgoias_-_museu-das-bandeiras,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1093/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1093
10,52.002/030.010,36,Localizado,Luminária,Castiçal,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,Base circular com frisos e bolacha. Haste torneada em coluna. Campânula circular com friso. Sucena torneada.,52,,,17,,Madeira | Metal,Não identificado,Século XVIII,museusibramgoias_-_museu-das-bandeiras,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1093/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1093
11,52.003.I/030.013,48.2 | 36,Localizado,Luminária,Castiçal,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Base triangular com motivos entalhados. Na base volutas e florões. Na parte superior, torneado e arrematado com campânula. Sucena torneada.",46,12,,,,Madeira,Brasil > Goiás,Século XVIII,museusibramgoias_-_museu-das-bandeiras,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1093/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1093
12,52.003/030.012,48.1 | 36,Localizado,Luminária,Castiçal,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Base triangular com motivos entalhados. Na base volutas e florões. Na parte superior, torneado e arrematado com campânula. Sucena torneada.",46,12,,,,Madeira,Brasil > Goiás,Século XVIII,museusibramgoias_-_museu-das-bandeiras,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1093/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1093
