,Número,Coleção,Título,Procedência,Data,Ano,Material/Técnica,Objeto,Dimensões,Descrição,Autor,ACERVO,URL,TAINACAN_COLECTION_ID
0,1591,Documentos Históricos,Apólice da Divida Pública,Alice Proença Monjardim,22/05/1925,1925.0,Impressão,Objetos Pecuniários,"36 x 25,3 cm","Apólice da Divida Pública do Estado do Espírito Santo, no valor de 1 (um) conto de Réis, autorizada pelo decreto de lei n. 1.498 de 22 de maio de 1925. na parte superior, ao centro Brasão do Estado do ES. Abaixo Palácio do Governo Estadual. Contornando a",Governo do Estado do Espírito Santo,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
1,1590,Documentos Históricos,Apólice da Divida Pública,Alice Proença Monjardim,22/05/1925,1925.0,Impressão,Objetos Pecuniários,"36 x 25,3 cm","Apólice da Divida Pública do Estado do Espírito Santo, no valor de 1 (um) conto de Réis, autorizada pelo decreto de lei n. 1.498 de 22 de maio de 1925. na parte superior, ao centro Brasão do Estado do ES. Abaixo Palácio do Governo Estadual. Contornando a",Governo do Estado do Espírito Santo,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
2,1688,Documentos Históricos,Recibo de Aluguel,Alice Proença Monjardim,05/10/1882,1882.0,Manuscrito,Recibo,"23,6 x 18,4 cm","Remetendo à Senhora Anna Luiza da Penha Monjardim a importancia de 20$000 mil Réis pelo aluguel de dois meses do escravo Febronio, vencidos a 3 do corrente.",Urbano Batalha Ribeiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
3,1709,Documentos Históricos,Nota de Débito,Alice Proença Monjardim,01/03/1884,1884.0,Manuscrito,Objetos Pecuniários,"21,6 x 14,7 cm","Nota de débito apresentada a Família Monjardim pelo Farmaceutico João Aprigio Aguirre relativo ao fornecimento de medicamentos, de 1875 a 1884. Na parte superior esta impressa a data, o nome do estabelecimento ""Laboratório Clinico e Pharmaceutico, n. 34,",João Aprigio Aguirre,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
4,1679,Documentos Históricos,Aviso de Cobrança,Alice Proença Monjardim,08/1889,1889.0,,Recibo,14 x 21 cm,"Aviso de cobrança à Dona Anna Luiza Pinto da Penha Monjardim, a quantia de 10$000 Réis proveniente do imposto sobre de seu escravo Febronio. Referente ao exercicio de 1883-1884.",Inspector do Tesouro Provincial,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
5,1751,Documentos Históricos,Nota de Débito,Alice Proença Monjardim,,,Manuscrito,Objetos Pecuniários,"27,6 x 21 cm",Nota de débito apresentada a Família Monjardim por Netto Couto & Cia pelo fornecimento de tinta em março de 1879. Possui duas páginas.,Netto Couto Cia,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
6,1559,Documentos Históricos,Aviso de Cobrança,Alice Proença Monjardim,28/08/1884,1884.0,Manuscrito,Objetos Pecuniários,"21,1 x 14 cm","Aviso de Cobrança do Imposto Anual sobre o escravo Febronio, de propriedade de Dona Anna Luiza da Penha Monjardim, no valor de 10,000 Réis.",Tesouro Público Provincial do Espírito Santo,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
7,1662,Documentos Históricos,Aviso de Cobrança,Alice Proença Monjardim,12/08/1885,1885.0,Manuscrito,Objetos Pecuniários,"32,9 x 22 cm","Aviso de cobrança à Dona Anna Luiza Pinto da Penha Monjardim, a quantia de 11,200 Réis proveniente dos imposto sobre o aluguel de seu escravo Febronio. Referente ao exercicio de 1882-1883 mais multa de 12%.",Mesa de rendas de Vitória,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
8,1625,Documentos Históricos,Pagamento de Imposto,Alice Proença Monjardim,1883,1883.0,Manuscrito,Objetos Pecuniários,"18,1 x 11,3 cm",pagamento efetuado por (...) à Dona Anna Luiza da Penha Monjardim no valor de 45.000 (quarenta mil Réis) referente ao aluguel do seu escravo Febronio de 04 de outubro à 04 de janeiro.,Ilegível,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
9,1587,Documentos Históricos,Correspondênica,Não identificado,23/02/1923,1923.0,Impressão,Ofício,"22 x 32,5 cm","Correspondência do representandte do Western Telegraph ao Deputado Manoel Silvino Monjardim (RJ) com data de 23/02/1923, a respeito de um telegrama enviado ao Presidente do Estado do ES.",Western Telegraf C.L. (RJ),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
10,1594,Documentos Históricos,Recibo,Alice Proença Monjardim,22/09/1882,1882.0,Impressão | Manuscrito,Objetos Pecuniários,"28,4 x 20,1 cm","Recibo de pagamento efetuado pelo Coronel José Francisco de A. A. Monjardim à Câmara Municipal de Vitória referente ao imposto de sua escrava Arabella, exercicio de 1882-1883.",Câmara Municipal de Vitória,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
11,1573,Documentos Históricos,Certidão de óbito,Alice Proença Monjardim,25/08/1924,1924.0,Impressão | Manuscrito,Certidão,"31,4 x 21,5 cm","Certidão de Óbito do Alpheu Adelpho Monjardim de Andrade e Almeida, Barão de Monjardim. Registrada pelo sr. Alcebiades Guaraná Monjardim.motivo do falecimento Collapso Cardiaco Gripe Bronchial.",Alfredo Sarlo,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
12,1631,Documentos Históricos,Recibo,Alice Proença Monjardim,18--,1800.0,Manuscrito,Objetos Pecuniários,"13,5 x 16,5 cm",Recibo da casa de detençao da corte relativo as despesas do escravo Febronio detido 28 dias. Pago pela Senhora Anna Luiza da Penha Monjardim.,Casa de Detençao da Corte,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
13,1695,Documentos Históricos,Sem Titulo,Alice Proença Monjardim,04/01/1877,1877.0,Manuscrito,Carta,21 x 27 cm,O sr. Caetano pedindo ao Sr. Coronel Alpheu um emprestimo de 300$00 Réis para saldar dívidas.,Leonel Caetano da Silva,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
