,Classificação,Denominação,Título,Autor,Local de produção,Data de produção,Material/Técnica,Dimensões,Estado de conservação,Resumo descritivo,Mídias relacionadas,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
0,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Vista de Ronciglione,Victor Meirelles de Lima,Itália,1853/1856 (circa),Grafite sobre papel,"Obra: 28,7 x 44,0 cm Passe-partout: *Obra encapsulada – tamanho do conjunto: 45,2 x 60,4 cm",Bom,"Agrupamento de edificações sobre um morrote. No lado esquerdo terminando em barranco com algumas casas em baixo. Pedras soltas rodeadas por vegetação “morro”.
Paisagem com vista da cidade de Ronciglione, Itália. Na porção esquerda, conjunto de edificações térreas e com no máximo três pavimentos. Destaca-se próxima à margem esquerda igreja com uma cúpula e uma torre. Na porção direita, traços soltos para representar a vegetação. Na porção central, hachuras. No canto inferior à direita representação de rochas soltas. No canto inferior à esquerda, traços soltos que constituem um morro onde as construções estão apresentadas. Pequeno grupo de casas embaixo no centro. Terço superior destinado ao céu (sem traços). Por Fernando Chíquio Boppré, 09/11/2011.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
1,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Estudo para retrato,Victor Meirelles de Lima,,,Grafite sobre papel,"Obra: 13,3 x 21,0 cm",Bom,"Estudo de mão direita e mão esquerda estendidas para baixo. Mão direita com dedos estendidos e polegar escondido. Mão esquerda com dedos levemente flexionados para dentro da palma da mão. Insinuação de punhos de manga. (Revisto por Rafael Muniz de Moura, 14/01/2013).",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
2,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,Estudo de traje,Victor Meirelles de Lima,Itália,1854/1856 (circa),Aquarela sobre papel,"Obra: 29,0 x 19,5 cm",Bom,"Figura feminina de perfil olhando para a direita, braços cruzados sobrepondo a mão esquerda na cintura, vestindo saia em tons de bege e cinza, avental azul, casaco curto azul, cabelos pretos presos com uma fita bege, brincos de pérola.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
3,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,Estudo de traje,Victor Meirelles de Lima,Itália,1854/1856 (circa),Aquarela sobre papel,"Obra: 29,5 x 22,3 cm",Bom,"Figura feminina sentada com mãos sobre as pernas, lenço amarelo no cabelo, avental azul, saia marrom, blusa branca com mangas compridas.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
4,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,Estudo de traje,Victor Meirelles de Lima,Itália,1854/1856 (circa),Aquarela sobre papel,"Obra: 27,4 x 20,6 cm",Bom,"Figura feminina em pé, corpo de frente, cabeça levemente virada à esquerda, mão direita apoiada num muro, mão esquerda dobrada na cintura, vestindo sai amarela, avental branco, blusa de mangas comprida branca, corpete azul, vermelho e branco, brincos, cabelos pretos preso atrás.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
5,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,Estudo de traje,Victor Meirelles de Lima,Itália,1854/1856 (circa),Aquarela sobre papel,"Obra: 28,9 x 22,8 cm",Bom,"Figura feminina de pé e perfil, vestindo saia marrom, com blusa bufante branca sobreposta a outra vermelha de punho branco, avental azul com decoração branca, vermelho e azul no barrado, lateral e cintura, colar de contas vermelho com duas voltas, toucado branco, sapatos pretos.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
6,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,Estudo de traje,Victor Meirelles de Lima,Itália,1854/1856 (circa),Aquarela sobre papel,"Obra: 28,3 x 21,0 cm",Bom,"Figura feminina em pé, de perfil, mão direita cruzada sobre a cintura, rosto virado a direita, mão esquerda levantada na altura da cintura, vestindo saia azul com barrado branco, sobresaia branca, blusa branca, colar e brincos, cabelos pretos amarrados atrás.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
7,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,Estudo de traje,Victor Meirelles de Lima,Itália,1854/1856 (circa),Aquarela e grafite sobre papel colado em cartão,"Obra: 26,9 x 20,1 cm",Bom,"Figura feminina ajoelhada em almofada cinza, hábito de freira bege, véu cinza, mãos postas em posição de oração.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
8,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,Estudo de traje,Victor Meirelles de Lima,Itália,1854/1856 (circa),Aquarela sobre papel,"Obra: 28,6 x 20,1 cm",Bom,"Figura feminina apoiada com pé direito, e esquerdo com sapato preto, mãos direita segurando um jarro de cerâmica e mão esquerda apoiando um jarro de cerâmica, blusa branca com decote aberto, saia azul com faixa na barra vermelha, branco e azul, toucado branco na cabeça.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
9,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,Estudo de traje,Victor Meirelles de Lima,Itália,1854/1856 (circa),Aquarela sobre papel,"Obra: 26,0 x 20,1 cm",Bom,"Figura feminina sentada, com pé direito apoiado sobre uma almofada, rosto virado para a esquerda, braço esquerdo apoiado no joelho esquerdo, vestindo uma saia marrom, avental branco, blusa com mangas azuis, luvas brancas, cabelos de cor preta, toucado marrom e fita vermelha nos cabelos.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
10,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Estudo para “Primeira Missa no Brasil”,Victor Meirelles de Lima,França,1859/1860 (circa),Grafite sobre papel,"Obra: 27,4 x 43,2 cm Passe-partout: *Obra encapsulada – tamanho do conjunto: 45,2 x 60,4 cm",Bom,"Estudos de pernas e pés em várias posições, tomando todos os espaços do papel.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
11,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Estudo para “Batalha dos Guararapes”,Victor Meirelles de Lima,Brasil,1874/1878 (circa),Grafite sobre papel,"Obra: 18,1 x 27,0 cm",Bom,"Composição da Batalha, área central, homem montado no cavalo empinado com espada na mão direita levantado, outras figuras em posição de combate. Na parte inferior direita outros esboços de figura humana.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
12,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,Retrato de Victor Meirelles,Pedro José Pinto Peres,Brasil,,Aquarela sobre papel,"Obra: 16,4 x 16,4 cm",Bom,"Busto de homem (identificado). Rosto virado para a direita, cabelos e bigodes brancos. Camisa branca com gravata borboleta azul e lapela marrom.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
