,Número de registro,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões,Material/Técnica,Data de produção,Local de produção,Estado de conservação,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
0,1977.16.108,Fotografia,Villa-Lobos e Arminda,Não identificado,10 Comunicação > 10.1 Documento,"Com a dedicatória: “À nossa muito querida e saudosa mãezinha D. Hermenegilda lembrança desses dois “cabeçudos” filhos. Arminda e Villa-Lobos. Paris, 18-4-52”.",,Fotografia em preto e branco; papel,18/04/1952,França > Paris,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
1,2003.16.050,Fotografia,Villa-Lobos,Não identificado,10 Comunicação > 10.1 Documento,"Com a dedicatória “À Madalena com todo o meu desejo de felicidade. Villa-Lobos. New York, 27-2-53”.",,Fotografia em preto e branco; papel,27/02/1953,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
2,1980.16.123.02,Fotografia,"Villa-Lobos ao piano, tocando agogo ladeado por seu ""camisão""",Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,05/03/1957,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
3,1980.16.123.06,Fotografia,"Villa-Lobos, no dia dos seus 70 anos, tocando instrumentos típicos usados em suas obras",Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,05/03/1957,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
4,1980.16.123.08,Fotografia,"Villa-Lobos, no dia dos seus 70 anos, tocando instrumentos típicos usados em suas obras",Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,05/03/1957,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
5,2002.16.007,Fotografia,Villa-Lobos em São Paulo,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1930,,Regular,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
6,1982.16.238.1,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,[195-],,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
7,1982.16.238.3,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,[195-],,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
8,1982.16.238.4,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,[195-],,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
9,1982.16.238.5,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,[195-],,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
10,1982.16.238.6,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,[195-],,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
